ts,token,islem_ts,tur,cuzdan,usd,tx
1789581166,46gvAJaA2Zq1KZ4MdTgYH6ksHySBpN1CfQoF3k8Vpump,2026-09-16T14:09:45Z,al,2jX6jm3eXFvGKeJCWHY5oH8JvP5vNKLvCw4m3eDzvHfm,43193.94,5WQCW8p4GVXhJQ8XPkSK21EyNv8bi3QRht6goawDm8d1mzuYSXrUSHnKgM5iWByh12CMtPqB2DkwZaxLcdt8coQD
1789581178,7uCP3G3518X26wWtuJkA2ua7hwm7P7YuL6zR9vKNpump,2026-09-16T14:57:59Z,sat,A9bNbhrRQSVDoV3Ki6FvB9AyNgJivCjSpVF8PCxf7dgA,5483.94,4X2Fchak8Qi3fv8yUqPEJv6WXnp35a3vzWmuBMUdVQdqkj29jyX6Lzn64nSiJFRi65GUt2GyiPgi75x8NhvdGPSE
1789581178,7uCP3G3518X26wWtuJkA2ua7hwm7P7YuL6zR9vKNpump,2026-09-16T14:52:22Z,sat,A9bNbhrRQSVDoV3Ki6FvB9AyNgJivCjSpVF8PCxf7dgA,22334.42,2mvumP9epcK8P9XeJEtEvVhqCgRk6UdZGFgKBai4X1nowR97xyq2i3nrSmt24shGkmwW5FmnzqfrWxrsikTXhERb
1789581178,7uCP3G3518X26wWtuJkA2ua7hwm7P7YuL6zR9vKNpump,2026-09-16T14:45:38Z,al,A9bNbhrRQSVDoV3Ki6FvB9AyNgJivCjSpVF8PCxf7dgA,22653.96,5fqRJrTxEBhgTqAKfkjBxn54mHzyEbHN5YM52GYDPRbobPDJoY1qVvEn3RZxwq5zPQDUmxDVaDkErWEhE2LbNv7s
1789581227,9fwomeVCBRkTkSDEUBFey48kXNAPRzsa7MMa8n3npaid,2026-09-16T14:31:16Z,al,BuekUk3YMmm7Agnb4ni1qMCmShVpeBTdQZYNyihyzr7u,2873.08,4hLhrpJmktSChVdzbHRTi593FZRB1rH6bps5MXvCHXvRG2C7V8rWQ42ZQ6vHd5LCXA57aaHfKEKeKRKpShnV6du3
1789581397,FNdBPMYvUtgv1edKKiZHRiMw2fQWDjTyo6LHJkMUpump,2026-09-16T08:41:46Z,al,Ge8ztT6Vv4MUQpHuQd732uQjFgGFaqDnAx4i5ymnfCBs,2836.13,92mPPNGMfqWoiCeAenaJ5bVZ1vdhbdeFpQXFFwdQNpNWvX4FgHSjo3zJApHqfskJvCD6t7uAKPvV5Qspxoq6gpY
1789581397,FNdBPMYvUtgv1edKKiZHRiMw2fQWDjTyo6LHJkMUpump,2026-09-16T08:41:41Z,sat,AmUDezcyAKsqZVWKPjNmUBggtJsCs2dxpzjpoEHZwfqA,4082.68,3p64mLS9tcJ7Wu5s8Qrms56d6aUAYF3tWspnisPF9MuFWMYk3pq5dnwf3deTQDXZe7SiUKNRag6Xn9ZDJd41Kxcf
1789581421,Zd8xgiFB1AGYTmZ78MS5APSXmDTNTLUJKuSGUD7pump,2026-09-16T13:16:40Z,sat,DRLfXmueKph8yFGr9bymiuq6c5hz4huv7xj8hRNRexAx,1452706.83,4UmqXyDhN73iVYYSvyzP3bLUSw5k57PBpfjBKvaBzeoyaFSZgCuPQ8ss58G48oDdegsY4rFi167EhmkYZM7tZ7QB
1789581421,Zd8xgiFB1AGYTmZ78MS5APSXmDTNTLUJKuSGUD7pump,2026-09-15T18:40:16Z,al,26gPpNQaCSKFYjsosj3fsFHcPSnHkBfE7wuinUYjTA51,1074520.83,3qjCBsZCMM9egqKJpB2iESiR8SCEkRndeNUhbJF1yYfJshHXjCCk1fPH4hVpsPzh4aNHtA2PPKib1wokDE439ipV
1789581470,HSJMr1mfMDecEGmhdrY1TmgRtMFqMyAjs4yCppPPpump,2026-09-16T08:30:20Z,sat,E7mdTgYspRGRAE1zJoUW8zdxNU5VjpQbivXU6huB7oqJ,8152.38,41nFzFazCAMgReHSWSwP219GPQi8cSE9ym1USSYqYggayFDmHAXd6pBDX8kAmvnkoUVbs5gbTP7wzdxjPi9coq8P
1789581470,HSJMr1mfMDecEGmhdrY1TmgRtMFqMyAjs4yCppPPpump,2026-09-16T08:20:12Z,sat,E7mdTgYspRGRAE1zJoUW8zdxNU5VjpQbivXU6huB7oqJ,12045.33,2emf1bHEwH2Luyf8DZcShZ7TR3wojGLgD9qq1rUN1spvDR2Ck4M8fCszPB1kjK7vfGiLfEd3piEhXdwLGAb9uYqn
1789581470,HSJMr1mfMDecEGmhdrY1TmgRtMFqMyAjs4yCppPPpump,2026-09-16T08:09:49Z,sat,E7mdTgYspRGRAE1zJoUW8zdxNU5VjpQbivXU6huB7oqJ,24407.44,3kjvFsB3bZLPEqpWHv62hairXGLjEQFQjRpoaFFbK8HHWE1ctto8APGoBp7dUAaDrLnVXoFqGoDEWiQVqWnUkAgi
1789581470,HSJMr1mfMDecEGmhdrY1TmgRtMFqMyAjs4yCppPPpump,2026-09-16T07:58:42Z,al,E7mdTgYspRGRAE1zJoUW8zdxNU5VjpQbivXU6huB7oqJ,30980.72,5bFY4Tkjm9VX9BmhbZ3kjtSt4CnZVNEFmRLqvwZPWQUnQ2EYJVYcQq4sdddmM16Xj2V8o1er8TfZuMmaFG3Qrdka
