ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789872453,72VYCTpMtNZ9krwLTMYJqADzxFsFZ6iDkpWYw1Wpump,DcC6VnuZ5eHgsQYrdC8DQpAmrvwRPigxnTCTtFPebHN9,1000,3,3,0,4931.14,0.0,3,0,2005.68,2026-09-20T02:28:07Z,2026-09-20T02:28:07Z
1789872477,7UajAeFAm98bCYNpobLm85Y4BggNe9gE2JswZNdxA4kr,E6y1DG2SXgenXwqz2DZmLYdHoYwt4vgkdf6Yat1fevbW,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872502,8L6adARUTBMTnmPcUFZoA8WgE1VD5FefzyohDHJiVPay,9CLqb4rDuSntrfnX3rGqFux7D3xcqhRQEnJhxys6pndH,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872526,8XPDPyPAz4H64aqCHkSjuUYtyjfiG7dPi328WSkrpump,7iHcnMxCpeLLKH6cngddmP8BpMd9abKhsJJ4ngVaMi2p,1000,2,0,2,0.0,3509.83,0,2,0.0,2026-09-20T01:33:06Z,2026-09-20T01:47:57Z
1789872550,AJZ4KE7x8nSxg2kpPV6YvHwg4K2myP4QA4zUbSBcpump,CGDZ89mCt1gTN3pGuEnvcYeuuiww5WWkgFBAHpPxN5Dp,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872574,D6zdDbtrvorhUpCeYiAGAybEbMNLyvTs5PNGCLoCpump,FUFhCyvHJh4rDQkLMtFwUX2tgujCbHSD13dM1VMfUXaC,1000,3,1,2,21782.93,25897.3,1,1,21782.93,2026-09-20T02:33:42Z,2026-09-20T02:47:35Z
1789872599,Dnm76JCe3pi7sAJ6AWu8SkS5N7ZM5AHf1xRv2iKyy8E5,EP4Lzkr6DmYE8RnexpKrciPhZCJ4pdLkLLyaamUP3CEq,1000,2,1,1,2035.25,1181.96,1,1,2035.25,2026-09-20T02:43:45Z,2026-09-20T02:44:28Z
1789872623,qsMpCaxep6JQJj25kH9LcdT3x46HGLtTu4XeYXApump,2bgn9n5sKEsJwRDbAeBUQxxs5FShhGv7bKtX7f5w2XaL,1000,1,1,0,42974.42,0.0,1,0,42974.42,2026-09-20T02:43:50Z,2026-09-20T02:43:50Z
1789872635,1cqpx6bJw5NSHxYuLHgHvNQxHJQKmQpVb1e87uPMCU2,5Pqv55HeZsuuu9LVFWvB4F3fYn86zHCuozi4y5EY5G4w,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872648,4htjusK8sBXXpGmcnbTmQHCRTFoh4fSwQryWEnTmpump,3BgcWHyE17S1CUo1yzZUkUVhJCDTrPpV8yuTHo7D9gNL,1000,197,101,96,159840.49,153780.75,74,67,4946.9,2026-09-19T23:02:33Z,2026-09-20T02:48:10Z
1789872660,64T4gjLcojrXGm6dpQXcAWE5MTn5rpNkejt6s3KqnE6k,21Gp561chSex35KDVbrEChXmcpf7hQPJG3ad4TbZhAPh,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872672,7GSVfYo715E5FnTyT29XnBzCjyXkdjAQyeubYyK3STNK,4PJnWDBFigdYMVkFi5QW5YB8cUTQeiJAbbNxjA3LQjLB,1000,11,7,4,10369.91,5527.99,7,4,2406.5,2026-09-19T03:46:52Z,2026-09-20T01:07:11Z
1789872684,7WPggrHd1bFQAHDnH6uocmT9BNgmdTjSMnVrfXBMpump,DePy6kCtR1tZJFWyRvhjBcipqechS6n71Mv3QgUpSraK,1000,4,1,3,19344.13,27155.81,1,1,19344.13,2026-09-19T23:38:14Z,2026-09-19T23:53:07Z
1789872697,9b3o7yaDEekQK33o5fWcyd2VZUrfrLtKMzH3LCXXpump,Dn48GUdJw5q9adCn7mr7ed3jFqp3ENSEbZy6Ee1sbyAc,1000,4,1,3,1088.74,8952.53,1,2,1088.74,2026-09-19T23:45:24Z,2026-09-19T23:51:14Z
1789872710,DUe1qheefigxhjboRqKkGWjSTeYivjLo6yq763redsRC,BWh4RGBiantA3RZBrw8pZnMstkDCb2thJQ4v8p5x9SyC,1000,300,142,158,242229.47,320571.47,72,84,5450.93,2026-09-20T00:51:13Z,2026-09-20T02:49:43Z
1789872722,DfcCdx79bbMnSuBp72kMKaEhmbFvGtx88tnP36pra2Rz,4wkfY6j4zbvdECUM85AVTvQZCbjS7DX3ngPWYUPqz5zK,1000,11,6,5,9991.07,7174.0,5,5,2518.41,2026-09-19T21:25:29Z,2026-09-20T01:14:24Z
1789872735,EacLkgUaQzZ8YD85Hqjty5eEniDcXkajhgt2zdo2mwHW,9dGj3S7GYfCSt1ZwcqUszX8oZHH1XaNuPnnVPicAaCmq,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872747,GhMym5f9VEjJ65dyTE6dWRFAuNJhxQsAxWNVfTg7pump,FyRK4aYezjf8XjM8TjAwZeSGvBoDFSEAHR3qGwQfXGyn,1000,30,1,29,65921.33,42807.36,1,29,65921.33,2026-09-19T23:42:20Z,2026-09-20T00:12:25Z
1789872759,268THL65f1X8c82Cz2SLmQeAkzsTtYCqZU4vNYBwpump,B69TycoNBtT66jCT9mewpY1d8Jed5VZmAwPZr9CjSQtf,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872771,4qa1UooHyAg7DkTTxi2ByDionm5qdFsTvrbbYsYZjGRg,Ac8kJnjWjsYFEtYvmAZhBxRpAGCMitevJardcw9rYmmq,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872783,7dxx3f9heCkjePJZaTdEQBPjLeR2BkgNeTJgMEULj2XU,BBZPabdnGsLd84ApZievaRwR1RCbepcCJdAmz3V8so1o,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789872795,8QfGp7PrMjrQuZEUCWn4SbrXuKy7xsrkNjjQGCVZrz2G,AgwrAB8u4sZerV2v3bcobydXNZFK3DhrSXP71yaUVPJt,1000,7,2,5,2146.52,6150.76,2,3,1104.13,2026-09-19T17:22:36Z,2026-09-19T20:38:39Z
1789872808,At541hRZhK9LWKj9w2dqN2wCdpFyZgRa1Un2yG7xa43m,7YoDHgiziucUwikCxXM5pfjG8EoYaDvx28FJgBMkh24i,1000,118,58,60,85652.66,81791.16,31,28,3461.13,2026-09-19T02:54:56Z,2026-09-20T02:37:03Z
1789872820,BmkJ2GHnYz1tk3tKKq12yx62KxRPCxnqb3GUoaPipump,Hj2S3eYBrred69Mhv81PW2UrYpQH4mSuQzA6ryEJnLiG,1000,1,1,0,7202.92,0.0,1,0,7202.92,2026-09-19T20:21:54Z,2026-09-19T20:21:54Z
1789872832,BtFegYSVBRxyiKj3pDotZm4eASjoD51x6vp1VuryB12K,G5SG3RkWycHm2eGozAJSUTuYLMbRJcD63kShB8Ki9VCV,1000,45,18,27,22529.97,36849.41,12,22,3516.7,2026-09-19T19:02:53Z,2026-09-19T20:52:18Z
1789872844,DcecmqrqWvZRh5eYrEBQMNiBvZWxhp7GZF9nXWSrpump,BU7JkHhHCHZyp1kJsxJDgv4VQydvmiPHxnTpAG3fsacS,1000,3,1,2,5531.55,2209.46,1,2,5531.55,2026-09-19T20:27:00Z,2026-09-19T20:51:17Z
1789872856,Hr98qKCpAcSvYhu5exMp3wLf1gmwgYwscBx5BrzNpump,J11WEX5Zx7oTJigrybKe5SMbLCwFPLJsdvR5wTMJDaN5,1000,1,1,0,2434.28,0.0,1,0,2434.28,2026-09-19T20:27:10Z,2026-09-19T20:27:10Z
