ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1790313617,2bRoY87nsBq84TTKJKFD5gYxVLPhrTPKK9MaheSLCCLg,UNC,4UzewNYxrvNzATKiSDXjynL9krknGX4vzUxbnj7WtCBw,raydium,1789104206,0.00001139,10423.03,11398,11398,0,10,136.12,1649.91,0,0,1,0,2,2,25,12,,0.64,-2.29,-9.44,0,0,1,1,CPMM,,,,,,,,,,
1790313617,3XQZDtpn5QisVxcvB4sAReoknWnooU7yM4YCQtj45nqp,FARTCAT,85aGuq5zEUUU6n16FbRLHBA8Y2GpN1rXnr5RZLgnsZmq,raydium,1788949208,0.00003304,18165.25,33044,33044,0,30.03,895.1,5954.29,0,0,3,0,23,7,84,35,,0.92,2.72,-20.06,0,1,1,1,CPMM,,,,,,,,,,
1790313617,2YhZUBBVxoDAEtXMhkRjHvAHvkDibyxN3ABHQ9Sspump,CAT,AnL7ZGja9PQQJCUSPAPY32W3VaRmWkTeZquUZF2KYsW8,pumpswap,1788931045,0.000003364,3214.23,3250,3250,0,0,7.37,13.15,0,0,0,0,6,6,18,25,,,1.14,2.14,0,1,1,1,,,,,,,,,,,
1790313617,2RX8rVoMSCQkDMKeDLNBRc2mXDoTevx77T8gTQ4KkdPU,CYBER,2YtcCVNjo8Gi7WKeiYMkcvc7EPQZdfE65TYZJXm4eMuq,pumpswap,1788930538,0.000003710,3726.14,3546,3546,0,0,78.66,78.66,0,0,0,0,0,1,0,1,,,,,0,1,2,1,,,,,,,,,,,
1790313619,8jkhbnbZJjajwdNxNrfQSqjMUH5wJXY8tDXWgtDJgrF1,BONERO,xPe157Q8iKKsuWkKDydox87JrA6yuKxd6iNd7oGAXsx,raydium,1789278067,0.0001294,34003.13,129427,129427,0,419.2,1911.29,22438.19,0,0,3,0,13,9,119,86,,5.1,14.92,18.66,0,1,1,1,CPMM,,,,,,,,,,
1790313619,8thd7APG9E1bwQgQ8DxHAA7GvM8cDQVpn6V42pqQpump,VALTH,UPcGrFPi9MY6kskURJUTAbvVGwWFkAwE81faPAWv5mR,pumpswap,1788962839,0.00004087,16940.33,38119,38119,0,395.86,2699.42,43717.52,0,0,2,2,30,23,267,245,,-8.82,2.95,12.04,0,1,1,1,,,,,,,,,,,
1790313620,H7uLK4Dd6bJuJkaxtFCbkoJgtF3RpumM8VTYB3whZc7t,TICKET,4ZnqNTaxFXTSn5ZtFEr32THEtAPG3NoqvqQC4YBnkb8k,raydium,1789439240,0.00008574,27695.86,85744,85744,0,35.41,4678.7,10973.92,0,0,3,0,72,11,118,41,,0.47,43.76,71.44,0,1,1,1,CPMM,,,,,,,,,,
1790313618,8UPqksuCy4e6aaJLMLzXA4WPGB3QMgdPJqB8qFUpV3mG,XMR,5z1azqgTLi5g4MwiaYpPNm1visNmF1E8RBnbeiAnJAi3,raydium,1789449568,513.26,1539648518.16,1539803676,1539803676,0,0,40197.94,362448.21,0,0,0,0,1,1,12,13,,,,,0,0,0,1,CLMM,,,,,,,,,,
1790313617,261tT7oAmUFSu52A6cwbgETh7HarafHT1j58QHs6pump,Bongocat,2XuF65WNQRw9Gh2cmrwFHz68JV1bLbmgDRUy9UGSpbfi,pumpswap,1789477835,0.000002708,2714.53,2600,2600,0,0,0,9.26,0,0,0,0,0,0,0,1,,,,,0,0,1,1,,,,,,,,,,,
1790313620,G5W6LwkLeoj6rZqBP1y3KT8k6Cz6rXGJmMNU3TArXtXw,STEALF,GqbkAy1ajZivdjk8jhDdMqapzN6ogEfD12LtJYyXQC4C,meteora,1789490692,0.0003042,133934.02,301180,301180,0,25.63,1513.51,34752.86,0,0,0,2,8,14,118,106,,-0.49,-2.12,-19.14,0,1,2,1,DYN2,,,,,,,,,,
