ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789505305,3bNtq6ZYQ11PNXq5ZKeWBrfmTWUEcotJtSN5eyL5DFfX,78KfKhK9hUQkXgb9BhAN3Zd254YTSwtZk21G9iBfK2sG,1000,1,0,1,0.0,1527.76,0,1,0.0,2026-09-15T20:25:10Z,2026-09-15T20:25:10Z
1789505329,4zsuzEsJSWuW76HTRYtM8PkYRsrrcKotkov3AP5HLcr,3T88tHWJbE3M2Y3wMKfbULJamR8Vgd7AbguTf6yjpuLH,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505354,5pmuEbbbzjXwkMTfp1pbBfXwPZpqJDs9tb5QTVrw44NZ,7sBpFH1ueuXMxVtKUQSsMBXv6Kwh1DzJnwNkzrpX667d,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505379,7s4e3BdSMkAWn21aYubJoPQXBTAsAqRJQ66QDTHFZG8,5frLsHcnhPAPKYpuuFQNbS4vTk8WKneSE4tRkx9U4BrL,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505403,As1tFbZ5x14tKpHtP338LG8URhFtTwWCrJLQVCou91zW,8LPuD2puesmpRxYKqGgxemP1pTzRnK3TrkEH7guSue9h,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505428,BsogQYJki12Nj7kB4S3T3XGhCHjpVpFaio8Zap3r7u2F,Bd8XHh8uQxhoGP2HNrE55fiYWpS6dPfcdGbufZr4bpyq,1000,35,22,13,33150.8,20187.42,20,11,2696.15,2026-09-15T20:01:58Z,2026-09-15T20:45:20Z
1789505440,76a7g4P4HJmQk4Mrwe6sb6dte7BEMKCaWuHNo51tSTNK,4LkS8nePcAdGtxP4PkA3hYTehepDgqpfpRimE2A9rAkK,1000,1,0,1,0.0,2462.06,0,1,0.0,2026-09-15T17:07:28Z,2026-09-15T17:07:28Z
1789505452,9zunZgQt5yDPRno9fzoC6U5h4iYMWmSsbDnX12Nun6GX,6fmK59SanKSkiZVrVEppDwD5mddMofCMwn3mFLrPkrMb,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505465,AdgZULsSbgvopxu9Avv53F8dtrZasPpEdXXZUAdWTdyT,DsJrexcGSjWQg6XGLo4tcqwDGeVWZrW5psRwC4sMtuid,1000,179,67,112,117788.61,181809.11,44,72,4934.58,2026-09-15T16:49:31Z,2026-09-15T20:27:00Z
1789505477,Aj7NxrpyZxYjtiX8DCAagMXT6rQMJtZD1JSrS35N5goF,HZ3b2zP1dU2C7hf73Fh5YMaQaQyCrAr2Aw9VsmhXxxcA,1000,4,2,2,3959.01,3025.55,2,2,1998.38,2026-09-15T17:23:55Z,2026-09-15T17:55:13Z
1789505489,Caej3LQSaGou4ZFgFtCtbMo6yegpPRaw31MawHEkpump,GXGUrB9qSoVpR4EpGtseTt6EWMKqXtZ9qev1NZKbNTvC,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505501,FAxSJP1wox8Gq65bgW76rGZmT1LBcz4FKjG5oC6Dpump,9xM1ZYE3sRDCbfQsMLr9WgabBee4e1coqf6CsbC8gK9h,1000,5,1,4,6436.88,4759.03,1,4,6436.88,2026-09-15T17:29:19Z,2026-09-15T18:16:39Z
1789505513,FMSRDb6ZnCec5RGMjbGNwMTCNmoB718HEKNzkdgtpump,2fBeTrF5UEY4uWpwkKveaeRPH3yR4ixHyCr1xzniEE9m,1000,1,1,0,6908.08,0.0,1,0,6908.08,2026-09-15T17:21:08Z,2026-09-15T17:21:08Z
1789505526,FMhVkeyJZYBcpoi8G5T8iwQ81sMG33HJcFd8TDXN9tVu,BDkjdVU97r3zsuwPd6RwRZ75oVg3k8VT6xPP4TcHbjj4,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505538,GEVexg2fEpmjsuA9rJjX24baCP69oJ4B7Dp1rNhYpump,AcwsDGc5wn3L4Nt1YvJau4HN7g89rhuich6MVCm6cfRY,1000,52,1,51,5907.38,68355.27,1,51,5907.38,2026-09-15T17:12:01Z,2026-09-15T20:42:06Z
1789505550,9qAEt2qwBhArELGriCvSHyNtE7X1bKt15nrAHyBUpump,HWo4xMb2nyZHd7YutMZD1vMPY7izFgWTk2B94FdVhATf,1000,17,2,15,7542.88,19999.01,2,15,6459.92,2026-09-15T14:36:00Z,2026-09-15T15:49:05Z
1789505562,FPHz93VU9xHo4i8byXhfmCmwF6qZTf23JvjXcpBMfpb4,HCxXj9gwWriYyBKoUu2KkUNHs8LDEX1sXwnpBwTYkKts,1000,1,1,0,1035.19,0.0,1,0,1035.19,2026-09-15T14:26:22Z,2026-09-15T14:26:22Z
1789505574,2d4xZo72fDfFQaHTzqH3yJXWSnyEbh2H99EqJiUPpump,D9w1Hcybvy89s11CTghXidrDezePkhKaHWoMTsAjAw6N,1000,1,1,0,8443.49,0.0,1,0,8443.49,2026-09-15T09:23:30Z,2026-09-15T09:23:30Z
1789505587,3QFxDrdiuz8sztedqdMoqieeHEsF3WMw2hibhxEMygjY,HBpK5HSDsuEiH8H6hWk1tYSXb1BLhL7f5AXK9BjX4jJS,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505599,57EdvZ4FXR2LvsrJCYECERyaQ5Ckmq6xJWMQ4R5Nfdcq,6X34gspWZ1oRRm6QbyMxpW3uNgBviEpTdnmVwbXnMyMi,1000,1,1,0,1658.21,0.0,1,0,1658.21,2026-09-15T11:41:32Z,2026-09-15T11:41:32Z
1789505611,5qn4Y1bSocZ66VR9nEVNizckZce43N6cmq4m5nVo5Wox,BnD4jpZZ8Zj98M6YAnMxu5fDnP9enCencgzjsrc1GSP3,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505623,5rLxsp6yBFP5xy2rxJBT8JjRDjogAuQ4FQyciCe4AgLQ,6uPjvBUWKfeNihcLTnCYbiCXhdGbn1qpNayRQW9UY63K,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505635,7eEw2drXDxgGgWh6rmw5iV3jYBuxReskTVSBaGr3odHB,2fSrheU2idt2cgTE7U6zyLfdsTzfDY1VvLazbgvD9uHT,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505648,8MsXpiAwWAnJLUR4CvjDvumBmEFAzkHM8NquioNN3uTN,Dzwq1qyANqCuUmnukeugipikH6dGLi2RWkyTRrMANRGL,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505660,8npjmNyDuFzhmAqRu4qdWXcL6XEy98u3aH5dUUFAb86b,4dsqzghyKoci4JJTymQKLfJQRBw4F8zm4bTJ3gisymF7,1000,3,2,1,2180.62,1037.55,2,1,1180.0,2026-09-15T10:00:10Z,2026-09-15T12:13:03Z
1789505672,8tNMMpNd81Gv7KfcVFtAK4TxRKHFA9tNBZ5rdc3zGJpc,CCSRTbAWiGKUKAMXXVZoVd75pPsSnVVritcW1FZU4PDy,1000,2,0,2,0.0,2526.13,0,2,0.0,2026-09-15T11:56:19Z,2026-09-15T13:04:47Z
1789505684,9YN6QHFGdWpyxgRYEHXpoQd8fAanm12i5yJvPxy5Fx2d,DhLUxuiejWzdh3Akh3opYUmgkERzzU3iNwiFhoBuE9GT,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505696,ANTTxZGfyKnJEDihHfs5Wu9RfA1QGsNmvu9meZTypqDQ,2JWLV36aaG8bdi52jkpuTfv3Z72iCaxAGKdM3RWmWzeo,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789505709,Bbm2sF5tDcfGjjna88y98FS33iBSZ7GdW1TY3Lg1pump,BJnGCd9J8gxLkCG48MD33S5L8MaDXLe3aD5kQrVcogw,1000,5,5,0,8546.6,0.0,5,0,2091.91,2026-09-15T11:43:26Z,2026-09-15T11:43:26Z
