ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789437034,3RXvQuQn4RMg4GUJK6gmDM47dN5vH5vjWShugWzYpump,9EuJwMT4dFt4ZHkLdj7wNdAjfx7BjybWRt4iKF6Jynzu,1000,5,5,0,6117.5,0.0,5,0,1520.04,2026-09-15T01:44:57Z,2026-09-15T01:49:19Z
1789437059,4sgjzB5Nc49SUB4xnb3MC2H5dVkKvimfFN5AsJuVs5U7,EMvX5Fr3V96wW3nVJtaZqJxEBCB2BHcrt6i83on9XkWR,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437083,C9BQe19n7rF3Y8FXT3gSURiUNwdXT62hgjwrm3uMSEBz,GW1ZnjrQTYD8fMUqoe8qJ6p8WQwWqLCRqsSo15PjNcRq,1000,3,1,2,1014.28,2058.1,1,2,1014.28,2026-09-15T01:46:57Z,2026-09-15T01:47:48Z
1789437108,DoK8XH7gBF76HwBMV8uBjk3PX42sYXbNJ3dZQSSSMov9,BbRDsNeHUcNReJ5fYjUoMWYez1aFveAykGYa1siGTYRd,1000,1,1,0,1010.47,0.0,1,0,1010.47,2026-09-15T01:45:58Z,2026-09-15T01:45:58Z
1789437132,E2pgqFv6qgntRC97Y3ofMgk5Mzikw3Vh1yeADcVWZKP1,FUVzMQJjBjmz1xay9sMgdfPzKDDLrSMQVizwtb9DPsos,1000,1,1,0,1010.54,0.0,1,0,1010.54,2026-09-15T01:46:46Z,2026-09-15T01:46:46Z
1789437157,FxQNwBTzw4KtQSLy8cbJENg36aRo9fpbuDJPZbqpump,s5e738XXV9ZNpsE4izQWx5iE6v5zhEh2gtzU4JcSDV5,1000,1,1,0,40524.87,0.0,1,0,40524.87,2026-09-15T01:46:56Z,2026-09-15T01:46:56Z
1789437169,3FfcNiTmq1rNnGpE3fzzDbVq5A9cMfULcZgCjWaXpump,FbFaob15tUki953KSm9Kgq8rrEW3sy6FjthnBMwd1Wub,1000,1,0,1,0.0,1077.79,0,1,0.0,2026-09-14T22:46:16Z,2026-09-14T22:46:16Z
1789437181,4tyRumTu5zBVg1pJ6fVHExnUVTfggoXvNxcD3KYr5KYG,Au4EemXEA4DBeC4brLdMvoj7U6pmb3oZCJ2opLQhJQqJ,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437194,7kjRdvP8cPdE4KxPdEBEArwuR6YtYuuKuxNtDgsw8wYf,5PyfmmH48QoLt9YvuUM35drTaUAA9xJxpfTp6wvwj693,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437206,9sv4KeevQ7twFTv64XnAGwy33mBymUV7QUQs8RRF4No3,Wai85ZU7JRkkGVD9dD1KtctX2TKcjgMRsRkB4Yku6Cg,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437218,D3Ei7rrXC9tAYbthqAMP9PTDxzNPQ933J6qFZQDRpump,Hghgo4YdUFsT4Z5wtqKdRYUiXu1WgLQSGWa98qBED9ud,1000,7,4,3,6772.43,3332.61,4,3,2425.8,2026-09-14T22:43:35Z,2026-09-14T22:44:50Z
1789437231,DCTZphD7gwDWTTKXyineJZWCNHbUBfB5DLVtmxKVpump,EzghkXEfGK31iaR62Hp4vjbshZ29vQJYCYsqsepRDVSa,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437243,ESYGwSAhqYxVmQLMN7KRccSSdXf81V56eWiV1uq8isQC,9rdVAbb2MtcYZDQ6di9YYYo4mjLuhNwRq3fG8iTZXdmH,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437255,EnAMgMo9y1AbamMLLKzHuUunQJX88UeS8gc7aUZWEoW8,8xmU7Hc6iMwf6CAE4rDSMfzAA7sYCGub8HtR3oCDVtkp,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437268,GPrTuSgAXVVJ67bAU4xe3UFD5aDDmVj7bZy73vTQpump,3r2KgCZW15vhvwq9LU9drMjC8dX2jryiXgyYtUeBhV9k,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437280,2QsNBQCemcVG6GNbSwsP681QWpaCMHU86jukfrtTnXAu,CVLWrHHxmQydCPsguE7xPn4zqWueLBPkV1G8SHwJASsG,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437292,5rFuCavg36FRLjvE4yzSrf36ArDjQELaqVWsrny61SaC,HPZiB2pr9wppQuaSu3ZSLAemwteVPrRZNwSFX7Dsf5LY,1000,5,3,2,5440.27,2082.0,3,2,2584.13,2026-09-14T13:01:28Z,2026-09-15T00:40:57Z
1789437305,5wwAEMee7eUptdsqwNeZjFNRaUiwvefGnJpyNQ5LdsUE,2G1VuZPPhyZY8ccsuoBrKxgU8ppuHsVSNqdxNMLKuZhg,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437317,Docv3vjNygB4PaEaWBTEFw9jAVJvq6AbMhdrf79Apump,GUMyhSuWoRMnKnLZu5gpiSkcwHzV736sRQArJx2YfRDo,1000,1,1,0,1019.71,0.0,1,0,1019.71,2026-09-14T19:43:50Z,2026-09-14T19:43:50Z
1789437329,FztiyQSQMPVWtBxMDcDfgnpBMBtaEfMRpUDPuxVeGUpv,5iuEF4JB2LRrHrEHiyZUxwHaffWd5qULeExjSkYv1cKS,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437341,GhLwjjWyaKjC2tzQLgsNEfVBrhVZnkrfDKhiD1BJpump,D45Q3dEKKEGKLoMZNo3desLG6scPEyCVQKz7RHomx8ao,1000,5,3,2,74796.94,82925.01,1,1,71711.13,2026-09-14T19:17:59Z,2026-09-14T20:06:17Z
1789437354,hWtoHUV4aDdkVHcKCiXtpVJGjVHiwWYdSVaK51Tpump,5KsBLkGUDzyjZXv5e1DWzYLx1pYdrQwHgkprsYNsk948,1000,1,1,0,91418.91,0.0,1,0,91418.91,2026-09-14T19:38:56Z,2026-09-14T19:38:56Z
1789437366,3GcVNs4mPcwg156knrYwMzT3wzqzscCpKpBiYzStxrbK,HMYYUPznzbGRbGBqgyQSNCSc5e7BDVwrrXh3XeRxJJwQ,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437379,6XV1bfWhSZfmeZgfRzJHSZ51df31BNVzNE8Xxr2Kpump,49cjmtqcFj9d7G3fj32WawZvnuVV2iPPL9Geq72kp7RN,1000,21,1,20,6616.16,22365.97,1,20,6616.16,2026-09-14T16:16:14Z,2026-09-14T19:31:47Z
1789437391,AAR2iw2ZiFFtzRY66fQCdAABVwruRBAeZSA6bkgopump,6gHMYqMDmwCaHJqe75Vh5BEVo2MqQ6NJ3GRgYCurqWip,1000,2,1,1,1530.97,1010.8,1,1,1530.97,2026-09-14T18:18:00Z,2026-09-14T20:43:38Z
1789437403,CKFvy16Gd8kadtCmNyu9r91TYgyvrbJnsJey8McFpump,HpZc1uG1WjvgdVRK6yrGdzpGAtmDTFo96k3w57DoVsJo,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437415,CMCPJ4g6Deqtaf8FkvCk1dubbw2k87SRWWwRqiVJpump,6NmUNWmuu5CkRyfGhg3gceToDCnna2xZ9q5DgnhdVqXM,1000,2,2,0,7148.92,0.0,2,0,6137.86,2026-09-14T16:47:52Z,2026-09-14T17:56:40Z
1789437428,ED5sSiNyupMpgV9UwcsKRN9yMGiPKojQ3Vx5f6rYpump,C1p5VyMXuzUJBYEu4fHQThVWqLW61ufFQbLLdgb7YHYp,1000,6,3,3,3582.54,3968.84,1,1,1372.52,2026-09-14T17:31:53Z,2026-09-14T21:43:27Z
1789437440,ymH9tz7zXUE3ZpJFbG2M96XDkZsr3dRmkMBqr9Kpump,AJR4r9LHB4672DaQgrSncQuqoZeeBhFRwW4QtgLase1P,1000,21,1,20,60923.7,37464.3,1,20,60923.7,2026-09-14T16:27:57Z,2026-09-14T17:18:25Z
1789437452,13EP9jmof9SZp1uM7a6vHpeYW46zdWfNMBzEeA31pump,Ao1vUfPVPffd1FvecoBq1PxLmpoYCCgN9tF5UYEfittW,1000,14,1,13,40917.63,24587.02,1,13,40917.63,2026-09-14T13:46:18Z,2026-09-14T14:25:56Z
1789437465,4DfTp75KrNmNnVsU5YSWZ82BruAqAsYkycNVRT5Qpump,7omVRcnLQ3PxJ9jwyKpVv8FCCjL4jAyuNdVJZSpDJbSM,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437477,ATtzBtjiZE318qedKCdypZCLec6h44NqzUqRqhnnagCn,2R3WVN6ZSf8HwRBXyFTmfBzupp3JPU26u4AkSSx8GVWh,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437490,BaBuYxnW9Jrc135bCjDj3CWDFqZcgHnc2iAySiW5pump,xWwCt6uMZ9f32UtrsbbXdaQeS9sYYhZq9viwyUCdiJu,1000,21,1,20,72504.27,31994.36,1,20,72504.27,2026-09-14T13:30:22Z,2026-09-14T14:13:56Z
1789437502,C5NCw639ZPGgJv8MQ6vG1HNPjNERwipndXfmuefk4ExH,FvR9H362pfEF9geQHHsuoFLtdPLHEX9N4HCaWL75zCH3,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437514,EeKgKFUdCRK4qyhVQRwjC2gWaT8UvyFrFfFtCA3gpQS9,CM4Z54q2EzhUBcGQMiPkk8wYWGx81f8qyz2fsEtAiSJA,1000,10,5,5,6331.45,6196.1,5,3,1990.81,2026-09-14T09:23:17Z,2026-09-14T13:25:38Z
1789437526,4wCtv7M95Eu2mZayJpuJyMYdXJ8SHkwSV7WLtmkxNVfA,ABh86vogUUr3uiSKLe8H7mRnhCUE7etgFPpTrzGjwSdq,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437539,8ac7NgPeKTxCjfX78jfzwJVttfU54eo5pxV9tvHwYGRb,7qekTAmyGAotTJoUYosRm7yfVRU94fgkSjPhrgufba2y,1000,1,1,0,1002.36,0.0,1,0,1002.36,2026-09-14T12:50:44Z,2026-09-14T12:50:44Z
1789437551,DWhNETHsCwKoM59dvi3zbhoueyjD1byWcZQAaqRdpump,6TYRTzEhGsbLnfqc5RLTgS9gtyKzusqtWp4Y6qjSnWYa,1000,1,1,0,4456.12,0.0,1,0,4456.12,2026-09-14T12:17:41Z,2026-09-14T12:17:41Z
1789437563,Ex8hHehx3mGAqd7NprzLqkntknpHDG4SnUTrpACypump,Aa56oxCrys1EC3Lstgdi9A1NDKs7xMrhXvEysp2yA459,1000,4,0,4,0.0,4823.61,0,2,0.0,2026-09-14T12:33:21Z,2026-09-14T12:55:01Z
1789437576,FHqN4a79JEtFG5a4csDv3xvwX9WoZuyyRMxWZHBpQacz,CQQtTuTpEYfkvhRGYnrguHwT25vLertN13SHiuVdGde6,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789437589,HTmQz7My6MehV7bjhJ6jde8nDND1yvsz68d24LP7YgUQ,6fNtUWWpf9VckoZXce7pFUyxA9wPRVPpe83txqdYFiCn,1000,300,136,164,260491.19,341926.31,84,85,8714.69,2026-09-14T05:49:39Z,2026-09-15T01:44:26Z
1789437601,finDuLU4YRYXAyK1sc2ajSJaGHKkPK4DDTmq3YPpump,FQzK4LvnoUfs2Bfen7bcrwWMTSRP7XhknYSWnjDnbw42,1000,1,1,0,39378.51,0.0,1,0,39378.51,2026-09-14T12:51:15Z,2026-09-14T12:51:15Z
