ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789789632,7PHD6WwEPa4JigfTSQDeoBjW5HEkJ2ZdGTfuXFfrFA52,5dWjH3327LqLHwJNHrsne8NbNLyzf3cF3HX6W1mkTpNv,1000,3,1,2,1110.7,3045.45,1,2,1110.7,2026-09-19T03:39:45Z,2026-09-19T03:42:42Z
1789789657,7vuqQWYJV2XxDaZkZgQsLdNt4FGzGmuDrR3Lrbj7kdqv,2Xoo2eSbo6roR4Qh698nsPAumizbEdZBrZfNuEzpy9yj,1000,2,1,1,24798.71,86274.98,1,1,24798.71,2026-09-19T02:01:32Z,2026-09-19T03:47:12Z
1789789681,8wxGJpbdmErvNzMjHApmf9B1uGNaA3BZUmoNd3Ag2XSL,743SqECiFHaDHf61RWa1qm3ousiaKSVwcmFraLPpnToA,1000,1,1,0,1146.5,0.0,1,0,1146.5,2026-09-19T03:41:11Z,2026-09-19T03:41:11Z
1789789706,9zVkFcpYUU7KfvbPW2zuNrzTkRoJwpD1S98F3n4RU2Qt,5wm6hRuutKvCsHuwCcfaLQrFEyALuHh8qqE7WTDukF5g,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789789730,FwJNkgud84vQNq3zPycwhD6RAqSTP43f9HiVyKwJpump,8yq53H8ctWsC8vP1hfR2RmwLHnWt3d8vSQ3QtqwoHmBC,1000,6,3,3,3793.69,3621.56,3,2,1345.35,2026-09-19T03:15:14Z,2026-09-19T03:48:14Z
1789789755,HG2n3SaNsrpjDabQGYbPcDhUVhWtysYobsPs5Z5WGwxn,E4tyZY7UMM9SvKq2Tiu4JtVSqg6eMaEFzKgQZ9KmjJcQ,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789789780,TVvnJTedD3WgAPede2xUmRjweJqNdhCEgyjtKv3rCq4,AkM2Ua4ZJwkcjQ3dKiV2wMeiK1b1a9TaUXoWjf3c94Wr,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789789806,biddm3N7RjyjfcnzmjgrQJ24QKooBGUy1RYP1aEgtzW,5jg5hzfX8SHJ65EnbM1BHkjirv4nfRk5aQkKhUWhfvU5,1000,300,145,155,228576.45,228520.1,92,98,4052.82,2026-09-19T00:38:26Z,2026-09-19T03:46:14Z
1789789831,fvHLJUwsynVHJrssbZ8MLNyku9jt2izUspbBD4Spump,8qwgwpdfbBMNhdG76bDmtvLeSqtG9cEwuGGy6wGKhTB9,1000,80,43,37,74446.6,62130.31,29,23,5613.65,2026-09-19T02:23:14Z,2026-09-19T03:49:11Z
1789789843,2wDNaaBoznHZ2S3xLZCAffi4ZmkTuedaXQGTsWThpump,39Crn4Jr7jPhRY9VTUNcBa91vAEEHzryCWvbdaUeJiPD,1000,56,1,55,9580.05,73328.33,1,54,9580.05,2026-09-19T00:28:59Z,2026-09-19T01:13:07Z
1789789855,AUZixNEnr3xhH8w3KG58efEZ1oxvUhwqzDM1dwwz2Kya,4XDt3gXp5rTJgae3CykFpByWCfCvFmSNTYhmNLGWoVJ1,1000,3,0,3,0.0,4435.19,0,3,0.0,2026-09-19T01:10:04Z,2026-09-19T01:10:04Z
1789789867,D8BNpRy9FSNXjXRMxX2qV5KJcdg9rVsirHj2bfUyPGoq,FwojvrKLG8MAMaDA3CUANuFSYXyro3iFmxsMPCbisnxn,1000,34,10,24,15455.54,39632.54,9,20,2144.56,2026-09-18T19:41:04Z,2026-09-19T03:42:33Z
1789789880,DQfVqyCBweL181f4t52iiqHZrWjBc7sL1BKKDM6w13Dy,G9TAe2R98kSVQeUsyaXkhNqkfqjFfoWhbPLYuLeunNaz,1000,0,0,0,0.0,0.0,0,0,0.0,,
