ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789820755,1g74RJzTJEkSrTD9exz3UBhjXb1M6NvBkR7Rxm2pump,CGbkrbMG4zhJX9LTedgkpnGDydG4REBy9UXpUvLsYypr,1000,1,1,0,58271.15,0.0,1,0,58271.15,2026-09-19T12:21:42Z,2026-09-19T12:21:42Z
1789820779,64Yf68yD7FtFrDBSwnmhgNVT2ZaSatQJb1GWQGfQpump,JE7uRhs1YAFBMdXqQCBdE4JfqAFeCvoGrPK3XJmKo555,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789820803,6LU9buMQMs2GfBoujmxZdemFu71e1QdfVvBPJpiNPQZU,8WZv7wLcNJzRTHgwGNZfKLj41oPdvVx4hojXiSYhmeXr,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789820828,6tyKkAr3vdoHJ29KrGshuiUnKRURiVzXUwwcxRtLpump,Ctiu6io8vxS6QvxAhqxS7r52TWeH1nYM8ZrqXqmgZAJq,1000,2,1,1,22219.97,9726.57,1,1,22219.97,2026-09-19T12:20:44Z,2026-09-19T12:21:45Z
1789820852,75D73tBWhuZaVPyZqeW9kUbXnSVjQCfFHwtowbhApump,7S54GPtjdYW2wug5gxWRkiEd5sVXVbtGVfRcsFYA1hUd,1000,6,1,5,1542.37,7504.74,1,5,1542.37,2026-09-19T12:22:59Z,2026-09-19T12:26:18Z
1789820877,BpQxayjZVxf3gywZL1HV2s3ZhsWqjDR9kZmC3s32UUxz,7aJmRr9xNBrXe3fbsiqJd8vymX98FEFKuR9hasq5xmf6,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789820901,EQtrnykVnusE5qz3rXJcrSh28aR1joojS93WkUXwpump,3MXPktbZ5jBidjhyaD9wkdkY4JRsx3CZaHkcxGSp55y4,1000,4,4,0,9135.18,0.0,4,0,2335.76,2026-09-19T12:21:00Z,2026-09-19T12:21:00Z
1789820925,FuriVrfyZgnXjABipp7ZdGsMCoRCgVXYp4LbdPNB1HrC,GpGbFpGdE9w5fssEf12P9B6qAuSqz6JcbBtEpZeVjfy,1000,2,2,0,2958.06,0.0,2,0,1509.25,2026-09-19T12:09:33Z,2026-09-19T12:10:13Z
1789820950,J1FRQZoNH62eWNTavDdGScFryNzyTdLth7cM8UZbpump,9MieC6wcCc3iHz5UTpVzwdxGYsWaZcCfvYpYiz4twzTH,1000,4,3,1,3297.44,1179.82,3,1,1184.23,2026-09-19T11:46:35Z,2026-09-19T12:07:19Z
1789820974,Cw4Q7NATM4YaETFjGhRYKCiQz9be9QhpUqLaNi5w8mpf,F5RaCDLAn3caSmByXtk67RESxL89wps4fHW7VXrU1NLm,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789820999,M9LQ2kWJY8qjGNGohXTfNcspJLScPJ7Guou5MiDpump,9YCqjr1jqN2WBdecqktgQSoEueNGoMoxTg7guZmFkzGt,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789821011,3mCs98j1Hjr6KoNMQTmBf6RoQcUVBCnARvHyrk2Lpump,A31K9zs72iGRz21RkcbA6n3v5Dg2iE7CtkHx9nmvmm12,1000,37,20,17,24512.86,25207.54,6,6,1771.47,2026-09-19T08:47:38Z,2026-09-19T09:25:42Z
1789821023,77NH7Lca2NtPdYapGknFGN749kmd4wHYNNqsxMFJpump,EQLDCn5YR5TgxJTnJj43Wg36Tz8Kapv3LMe5BMZxVQ27,1000,4,1,3,15983.89,49934.29,1,3,15983.89,2026-09-19T08:25:19Z,2026-09-19T09:45:43Z
