ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789788105,3DJnpAqzrYnEvYmohrt1TWey3kG2JQwicQAMQuUPpump,3EVJUBfqZ6WcRwYt39e3PKohJWXA6r2tp7VX6fQW48VV,1000,1,1,0,7922.09,0.0,1,0,7922.09,2026-09-19T02:58:46Z,2026-09-19T02:58:46Z
1789788130,3oAPDbGyLytmBaEfH9ouw3wXcHeSgDuYJgv9AQtQpump,Fue1xMXPucnjxqYtsnv7mXzksGNdwj8Sk6cmQDmuxySs,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789788154,4GdoeUFWMp5JMrtFd4TKHRAGdfBAySeF6rSHjpuDDkzK,4Fe4XKrVnEJ5gxfcTozHCJqbkpB9FiqXDKNVkZfdREyR,1000,29,16,13,26255.26,23688.01,11,5,2834.57,2026-09-19T02:05:03Z,2026-09-19T03:14:54Z
1789788179,4Th2yqg9pkHLKaTju7Xn2uqcwpGkvzQERrsZPRQapump,143e89VSvmN5Ef9gRMqXQXGsamTZpgE4xQQraZUPTrM,1000,1,1,0,7356.21,0.0,1,0,7356.21,2026-09-19T02:58:49Z,2026-09-19T02:58:49Z
1789788203,5TFNTUgR75wmXxTFVscbAXewjFaiKCzxRDqLoT7zpump,885mZZgaaJyzYnasSAFnEqyb8EJV2Md8wuBKpKUfR33K,1000,1,1,0,22580.81,0.0,1,0,22580.81,2026-09-19T03:17:59Z,2026-09-19T03:17:59Z
1789788228,6N4hRe3Bbae13APntSPB6XoyRjNh9oZWZSTNMAtUFbb8,59Pjv4RTViK9ZEALpfJJhq63fAonUrgb86jYEmdmN6pP,1000,1,0,1,0.0,1183.27,0,1,0.0,2026-09-19T03:12:22Z,2026-09-19T03:12:22Z
1789788252,8SqYNGHNEib1EHn9hDndS9jcxqhh9chjRU5ySNBpump,AtqgkriPYq4BSuRyntEda5UJu89C5RnMzFvsKvynPPk3,1000,1,1,0,22909.47,0.0,1,0,22909.47,2026-09-19T03:17:39Z,2026-09-19T03:17:39Z
1789788277,BQSd3cdbnGzGNp5uPHTykJ4YT8qfW33tij94wcKQpump,3xG3ZxWp5fq4CmtJfJySzCdP8n8CSVYw9vtjssk9raXU,1000,1,1,0,2251.24,0.0,1,0,2251.24,2026-09-19T01:32:04Z,2026-09-19T01:32:04Z
1789788301,CjtxpmhGyHMhdN5MmS7vooYbDVi6utNz5DxJVjF8bjoZ,6QYY7WWQdwxBoUiTkveV4a7ygx6T7TPK73idp2RLDngA,1000,22,14,8,23412.49,13199.75,7,8,4388.95,2026-09-19T03:03:50Z,2026-09-19T03:16:52Z
1789788325,HEJ6jT2EyAEs9ouPVjquoNZHcwtgZ4W6EBdwwVffbonk,41LNvHWMKX6Zqx1RyHn1JEYaM8wr7r1GMCwmpbAopCtD,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789788338,5G4Jtp6yRTWwrzrS6EWLGmxwmxDH7mq5mhcc9ZXDTgxd,6L2azktgPdGQSv13nvCpLBLmhysProJ7UiRjqDUNmM4c,1000,1,1,0,1053.86,0.0,1,0,1053.86,2026-09-19T00:23:45Z,2026-09-19T00:23:45Z
