ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1790068931,2GCYiaB3h6objV28hNFtEV8UgDEEgjxLgaedA2a4pump,4vndummy3cZvwEwWjvVLbNNQ6nFXPxgKNTqhpB4LvwKL,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790068955,3YyZ3okTi1oGDJzPm8PHTjaTAQMUH5g6Ka8V1DRoHVZM,CK5nu4Mu3PFxrg4NSX8DmcoVXkNGANonx8APsoj7dVvV,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790068980,4FMSFReZzQSWKYd5JfcgtU4pApFEdR5XDzW9nneW1XvA,4PjdLDPz15phviHy6aBuuHPu1QVoue4vx6zgbbhrregj,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069004,4KaQ4kUw7a3ATGQQwCg3zf73uWMGuYqYHVHAWQthpump,3zwvz78oqe7e5NgvagetNVrgPDppLBkLbf85paTCdXuu,1000,4,4,0,9903.29,0.0,4,0,2498.77,2026-09-22T09:16:44Z,2026-09-22T09:16:44Z
1790069029,5McsLsyut5q86mnaYec2YQJsxi3yE83rkcPXztDtpump,2tQKXAZzBA1yxQ8hdZNpHnG6eBrrPmgjHwcd12GTkhuS,1000,7,6,1,7814.15,1368.97,6,1,1968.26,2026-09-22T09:13:45Z,2026-09-22T09:18:28Z
1790069053,5YZP4trybSECTJ5ctsd7UKaR12AxLNpQ6LYoXshAiuhB,D4h1RgZKbwbWyTg1p2mWSH1USZEkCNdTDjBTaeTL61QZ,1000,1,1,0,1156.67,0.0,1,0,1156.67,2026-09-22T09:17:36Z,2026-09-22T09:17:36Z
1790069078,BGcuCU1TW7zHTNc41dZF8u1hxXd65So2jY2v5ZxmCX76,CsZPhxjb2u47tXVRiqN6FML4D7nTVqUT7iunqiDWRPL6,1000,4,3,1,3350.36,1644.44,3,1,1176.77,2026-09-22T08:53:18Z,2026-09-22T08:59:21Z
1790069102,DZCSxDtkAN2hdErv81TGr8hAh62HNXQrW8rYVW5SMtH4,9YiZxiGsWxFa5nhDpRk4xrAFwdciumQnrSqMZwSdtY9G,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069127,FZxpVsoZ9VKey66rwacoHxVjhRXSo2MwzidPXDxSjupx,FJKhRbFkD7GLMhy3GhCy9XsUn6qCU4Dzorw8h2AXP3TA,1000,10,6,4,8734.78,4560.79,6,3,1996.21,2026-09-22T09:11:14Z,2026-09-22T09:20:04Z
1790069151,HBw1UaSyyXKhn1tqUHoLMmESU9PSUUfEBdFTULojismA,6WVHeGboC91kvkSpKQWnKg7ZpCyCVwRkGpg7it7Eb1d7,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069164,2bJMBBq9Vda4tDGNsUpe1TsxtsYHeVL4vSzMJyMkwWYB,jU2eDc2DsbG39D2esPbEgoLYJW5cKZPyUB5JPmgz1Ki,1000,1,1,0,1209.35,0.0,1,0,1209.35,2026-09-22T06:22:21Z,2026-09-22T06:22:21Z
1790069176,2k1g1NKB85swTVLYijWkutRFMS9MjXfJnqzzqfSypump,FAKr6zhYTLAqpUowErobB1mvJr2xmtaANxYNLszGHhrg,1000,59,11,48,17080.3,71779.69,7,20,3041.66,2026-09-22T05:13:29Z,2026-09-22T07:26:57Z
1790069188,9t2MfDhLSyvDf2JNcXi96hMP5dyfEb5uFAtCdK42w1Bw,8TBZKmhyqeMP2rsShQXnG8d9FqMpHQYZLpWLgF6AfNJG,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069200,AxpiTsZTUYKiayfZoWeTruUHZaEoNVBgZaw9BN3tpump,BkEC327JzpyUNrhVXXFCA9ei8YkWLixScio3pxZ7EawE,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069213,BkJxJ1wk9i1aPE4MSTm4ozg1qBYKw7h1asxzmEu1pump,38XyuRw8EVevzFXr2x3fVjPY5hoSUWtsdjqE97Jetmru,1000,43,10,33,14417.55,51320.74,2,20,2630.56,2026-09-22T06:12:03Z,2026-09-22T06:33:28Z
1790069225,FMinJE1XKP4WoF7TuRhJK9JgRy6gwsrkifSHYW6Mpump,C6x94vbFn4d8SCjMH5xLkFVZPVgSNiBFbmVG4pgqDBDu,1000,2,2,0,2310.83,0.0,1,0,1155.87,2026-09-22T06:35:34Z,2026-09-22T06:38:41Z
1790069237,FaXFFvg3HCH1dDdjMLkkUmGrS7jRt9JnAwMoefZkwo1h,FYX6avZoy3xPpWXzUoeje9U5qSJz1owhAi6XiLMXLauc,1000,1,1,0,1023.01,0.0,1,0,1023.01,2026-09-22T06:22:14Z,2026-09-22T06:22:14Z
1790069249,GbVp6Cin1qJ8A41Hz5ejdZgWSsAD6VQpnfzXY2XxwHun,4uRbBWKugAf1WvZvxWxMGQZkDzTMuLGuckNYvYr25tFU,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069261,HWfJbvFPZgzrCRUHdatbeueE2PusEpNKBcMyRV3d3Ntv,D58XfZCRt9wzD4aBfPJyhEPe57PzXMstMa1uoWJ6K3nt,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790069274,7uAjmQWr86zQy1FqU4HAbtBXE4KKeQCzXU8zqXpVpump,DuzQdt61KJtHgiAKKGrfsJbodGNeokkh3ukJkd5XM6sU,1000,4,4,0,9897.59,0.0,4,0,2499.88,2026-09-22T03:16:01Z,2026-09-22T03:16:01Z
1790069286,7ypCq2CJ4fnbtS3z2B1W1UT2he5E3u7Md6Gy1ri7uGrQ,3b2ys5YveWJ7D6SusGTESpUnmAUzNitHMNNftsmAmxST,1000,2,2,0,2937.69,0.0,2,0,1763.67,2026-09-22T02:47:40Z,2026-09-22T02:48:23Z
1790069298,DDaAZ5Nc8x9g3FQtEWkZ67StvrF7a7thBfWYxqftpump,7AN6q6zY6KpUs86PgGsGbdWTTQa3cJcxnDw1PsneNrAe,1000,22,1,21,1538.26,29340.32,1,11,1538.26,2026-09-22T02:54:31Z,2026-09-22T03:23:05Z
1790069310,EqgSTACCT8SGUZr4Sz6dUjptfGwuiwTmSjj9KnPHpump,HDLEzodW7eThB5nXTuoxxWzJMki9U2DkDYUG5UWAST1b,1000,4,1,3,21919.58,41587.58,1,1,21919.58,2026-09-22T02:56:08Z,2026-09-22T03:17:34Z
1790069322,GnbCUWeYUVNvmoeEVLfFXSXWz1Sut41cCNrvv14ssU3i,H9AN9QurfnEQ3nx5RZnK4PqBi7BDTs4NJ63sQLHkijFF,1000,1,1,0,1548.33,0.0,1,0,1548.33,2026-09-22T03:18:05Z,2026-09-22T03:18:05Z
1790069335,mRndtKHRjLfKhBRKUUkpCrppbGerbrSvuGdGaSopump,5zTATR2LtPjG6t147iAmqApJFxTvCefsi5FveP8eemKF,1000,1,1,0,4656.27,0.0,1,0,4656.27,2026-09-22T02:37:51Z,2026-09-22T02:37:51Z
