ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1790088648,2iSB473Z7L2ndpWs3n22tb7H3KSGpswDTH3jP7qCCAZT,DLuQqPb1SX3432bEeAXhsYF8YapZjAC9ecyPY3t7Zbnj,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790088672,3e6to4qrHByU19Sij9DVKPB4AQD5RuyhH2Sj2ESLpump,CmTFxzZP6B9kvdhxauwikCnaBKFavTCbPJnBByyJbXvX,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790088697,5bSqBQoih7s7MaH21MouWECyWQVMD12ZK2vJ8PiezNqo,9rJ2d1Kk31hFXRWanEspw2fr8hjXPcyahYwGyN4Qvy8h,1000,1,1,0,1131.55,0.0,1,0,1131.55,2026-09-22T14:44:51Z,2026-09-22T14:44:51Z
1790088721,5pyH4YwNoqdkzkrFouXaACP3BQ84w8HVyL6Ns165kzcu,2rnn7B6auzPjLS3f9HQavbQW7oLNCddczpKHfWawCZVJ,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790088746,69LPpYKi8BmwJDvY6chcuDhyuj3VgeWffUjXjJxZruoB,APiDeqNetfXEviVcaPn9Ka99AV2UWMo4e6zveCD61Y9m,1000,1,1,0,1021.11,0.0,1,0,1021.11,2026-09-22T14:44:42Z,2026-09-22T14:44:42Z
1790088771,C39oxeVqaLKxf1aDXnz5bU1cVZfndBC17Fms7jvJMDQo,CcswbGftkGBGq3eGUgrij7EJSssTM3Sb5ic31r2XZwby,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790088796,Cv565n8hbbkxTY9DmxvTMA6WYEKpVqZYjxAjsVDpump,v2ggB3d1pQEiyTGUjGhXSFcU5QX4RfppCFZ9x4NYGdd,1000,3,0,3,0.0,13448.65,0,1,0.0,2026-09-22T14:46:03Z,2026-09-22T14:47:08Z
1790088820,H6ibmg2HroqMWMFbTkzsuGsnRumuULFBL6hoMLmZmLe,4tY8ALwLgUXU89qrkSbm7h1KL3Nc7GsS8zC8ZxiZ9vUy,1000,21,10,11,15090.31,13564.13,10,10,2486.85,2026-09-22T14:00:06Z,2026-09-22T14:48:38Z
1790088845,McdQdyWmpqWaJcRwUZSDf17J4UrbaPtdszKMGf9e5Li,4Xp38DzNChBvYxs5kj3DEgNNFvnZWuwsDESs32CeTm1N,1000,0,0,0,0.0,0.0,0,0,0.0,,
1790088857,6Z879n8orCoTNSx7NaNFryseaA8e3PyNshuMURtEAm3U,EPHdJdjERDDZcXwoui8G7sLteHw8WHmKadGvFCkUaqVW,1000,1,1,0,1218.65,0.0,1,0,1218.65,2026-09-22T10:59:08Z,2026-09-22T10:59:08Z
