ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789685025,HzJQbqpQcgMGocE1K3yWQ4ZfN6eXruy4TqJg2tSoitt,MINER,BCom1yyzu3gmNc5peBdKhUz15PewAZjpsU1zDuoioBEi,raydium,1789070834,0.00001038,9332.44,10381,10381,0,138.39,1577.85,10002.28,0,0,4,2,20,11,132,48,,3.54,-31.52,5.79,0,1,0,1,CPMM,,,,,,,,,,
1789685022,5MdA82CL7GwKknEYzBWUrzCHGVyFGfJYZkK9NTMtSTNK,Peptides,sFsY6jMRiYEu7Xoq2hG7soTkLg2hoG6o8eCjADoyAzR,raydium,1789122244,0.000006342,4824.55,6343,6343,0,7.78,367.34,3474.64,0,0,2,0,5,4,28,29,,-17.39,-14.73,0.92,0,0,1,1,CPMM,,,,,,,,,,
1789685025,aJZoaVr288mTW3bvCYac22Ndccoj1YZNyg1GKCfbxyF,BNBCAT,D9hADMahTUkub4Xy2FK4YYU89xuYJaTCbP5DgJ5iNrSJ,raydium,1789121978,0.000003916,5331.82,3916,3916,0,10.08,615.2,1205.09,0,0,1,0,7,6,20,6,,0.76,-14.09,36.68,0,1,0,1,CPMM,,,,,,,,,,
1789685022,6yudUgpgp5YMzYf4L17jmnGW3CPjdQfQ38htcaUNF3Xm,Stonker,E6Sa34UNPpc64fFEyR1BB2wnFw9cVJPdmWtrtpYA3TkQ,raydium,1789100453,0.00002912,14929.57,29126,29126,0,951.18,9693.01,23448.25,0,0,4,8,110,71,251,178,,-3.2,5.61,38.19,0,1,2,1,CPMM,,,,,,,,,,
1789685024,EDuorZsHVCLGcvP4DYsZf3oCf3xFwgWS513xUaug2UnV,SIR,HQXGTYdeVaoj6SLqe48mGLMGzs8kWSgFJqXQYSp7Vcco,raydium,1789143928,0.000001803,3474.01,1803,1803,0,0,0,9.18,0,0,0,0,0,0,0,1,,,,,0,1,1,1,CPMM,,,,,,,,,,
1789685021,3YMNkRKhZZXYQVH4sdy24V6hKw4mTR2QRhA41j4PcRTM,TBURN,AefFADrGud5WXRc8RqG7hcJ327dreujLRkkWYQp5BmBd,raydium,1789149775,0.000002451,3124.18,2452,2452,0,0,0,38.93,0,0,0,0,0,0,0,1,,,,,0,0,1,1,CPMM,,,,,,,,,,
1789685022,8PBCyTAd61JuVvUdzT3CgYmyc7v8c3dP9xoP7p9m2gGL,WAGMI,AyrtFCtDsvJa5MTdoCr3rHCpAANYoQhqm9N7HQktHxZ2,raydium,1789172305,0.000002846,3891.35,2847,2847,0,0,224.51,865.16,0,0,0,0,2,4,22,9,,,-15.46,62.49,0,1,0,1,CPMM,,,,,,,,,,
1789685025,Fuj8g6buyP4DgwZ3XQ9HZMfwCLLHzsFw1QQPDy6cSTNK,Memestonk,gH2tZFvtR9TJyaSLSNZyqPGHAdb7nJJaXP7jXEohHr7,raydium,1789194811,0.000004503,5366.81,4504,4504,0,0,1,641.63,0,0,0,0,1,0,12,23,,,-4.85,15.26,0,0,1,1,CPMM,,,,,,,,,,
1789685024,E48xVLiza8JmnE4Kszoz5tF2Ce15pAAjRbGCkeYApump,JUGGSOL,4vUxwjnk3NdhExvqUtYHRYdJPaPToHRvhMnbu2Fmbwzr,pumpswap,1789216007,0.000002461,2936.83,2395,2395,0,0,0,0,0,0,0,0,0,0,0,5,,,,1.23,0,1,2,1,,,,,,,,,,,
1789685023,Ac2592baW1xua14G6rEkmy7qUxYSpAs8sTnnf8T8pump,USEFUL,HuL4A4wBPGo6gPabCVSkXPH5WHimrMMTz5GJogSCbsPo,pumpswap,1789232388,0.000003364,3395.42,3106,3106,0,0,15.63,15.96,0,0,0,0,0,2,0,3,,,1.72,1.72,0,0,1,1,,,,,,,,,,,
