ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789681435,FiHpuVdsEqsMC571m9e7C9Ct1mgUCr6x9wB3pq1Fpn56,BODEN,9TymA5XepTVna5DcEuq4dGePRidYbvdQoySvWcyVAY6W,pumpswap,1788956141,0.000006175,5956.25,6025,6025,0,0,0.41,194.79,0,0,0,0,0,2,2,14,,,1.91,4.06,0,1,1,1,,,,,,,,,,,
1789681432,8H5yfL1GoDETLDaLYZzrgQuZs37eiKJjdfP21b6ypump,SAAR,6hzdUCkrzgoJ5ugz2vWwKd56odxziZwyMEN7CCF7hSKy,pumpswap,1788562544,0.002243,134588.72,2136307,2136307,612.79,7102.87,34610.63,167028.21,2,3,36,26,183,177,809,731,-2.32,2.51,8.6,1.06,0,1,2,1,,,,,,,,,,,
1789681431,4mSGtSCjZm6qQcef4p8mNMbSyAiqVBStgHMo5w4MFP6L,BoB,722FSSdCzNEsn3kyeXTX9qxVMnq2n3oYJ16EwaZ6QKP3,raydium,1789118463,0.00001138,9609.4,11382,11382,3.59,335.15,3529.77,6239.01,4,0,6,2,44,18,61,43,0.65,-6.89,27.31,14.36,0,0,1,1,CPMM,,,,,,,,,,
1789681436,ZesMGYmokFiEuDvNzWeMhB7jxF6eUW8c512vwSKSTNK,🎒,CW5jBQCAw9btDETXs2hZsDUNHYAaXpx9mgKfzYimsebh,raydium,1788769302,0.001416,138210.31,1416801,1416801,57.38,6490.44,186157.59,393432.23,0,2,32,21,407,480,981,1045,-0.17,-9.1,-34.63,66.56,0,0,2,1,CPMM,,,,,,,,,,
1789681431,4tftz6zvd4MvJ2myhtwAPifF4vGEQXvUHZXtMyxPpump,HORIZON,HzZWwtSocPt3cG3oscHABL5tKNJWiJj7nrRbqGNudndX,pumpswap,1789121398,0.000002083,2286.87,2026,2026,0,0,0,0.1,0,0,0,0,0,1,0,4,,,0.66,3.68,0,1,2,1,,,,,,,,,,,
1789681434,EA9HxmbSK7K68maRcYAV5vQnfG7b29HhTzeR3fqXpump,Lemon,5CheCbB7ZgEXaQdJHug51bqUEsfcCoTnLVjhZPVJcFoP,pumpswap,1789125632,0.000002406,2362.57,2175,2175,0,0,0,0.73,0,0,0,0,0,0,0,3,,,,0.57,0,1,1,1,,,,,,,,,,,
1789681434,DrdwSUzt5ZMqa9Yj1cpvNRRx7zQZP5s9Gm2S8m62STNK,STINK,GHp34Zq9EjTjj6DTsCnP2czhWZDuLUdbhuetNK38igqM,raydium,1789124324,0.0001362,30717.12,136227,136227,2.59,8094.76,21534.03,126595.98,0,1,43,20,170,121,905,670,0.18,-17.15,-28.83,67.19,0,1,1,1,CPMM,,,,,,,,,,
1789681435,HYm6BfpDQkfUtnCWVnj6YAGzJvnpzuCWDZKrpbAVkBFh,WUFF,7GA65yufYGnzdRaJCjy7QPPrivEsf4f85uaTwy4DQaQL,raydium,1788792411,0.00007108,22843.67,71087,71087,23.99,276.26,6475.82,14745.45,0,1,2,3,48,26,154,82,-0.22,4.49,45.27,100,0,1,2,1,CPMM,,,,,,,,,,
1789681434,DeCbrdr7VGSL7BTFufojwoJ4gudUrxE9pwBzJ6sApump,poukŸ,5z9oZrUShm7NyiQZdj6NjmuYVAC3sAM12aTTvrmAq89L,pumpswap,1789039185,0.0001150,26906.54,111236,111236,0,19.87,248.34,4109.09,0,0,2,1,7,2,54,10,,-0.35,1.24,13.54,0,1,2,1,,,,,,,,,,,
1789681430,29KvBXvMpBrkNNeYPYTHARb6ysNSYBcWirnnwxb7pump,BRAINSAHUR,HgT1tZg4286zzaU5vw78sPMG1aKYHFxTLVnWeHxo9GWG,pumpswap,1789140994,0.000001717,1873.01,1675,1675,0,0.04,0.04,2.43,0,0,0,2,0,4,0,12,,-0.1,0.74,3.58,0,1,1,1,,,,,,,,,,,
1789681433,AAHvR3SK2KKa6nGyJZnkbbauLfEWnxqZGgbHHQWG8Aqz,Quagsire,F9rhgos99z63YSZ8u3vXJAZpsLAHVRK5yALTaiFPk1FW,raydium,1788825911,0.00005528,22668.1,55289,55289,0,81.81,5252.22,31221.5,0,0,0,3,28,33,146,189,,-0.51,-31.7,188,0,1,1,1,CPMM,,,,,,,,,,
1789681435,FuMvkfmjwYG5jsQ7wQkEaVi8dXuQo6QNvbyQqCm6pump,SX,HMZvnrvEiNfk6ZEKqP18GEu8FVej2Ea9JKeRfHK1rXMg,pumpswap,1789140200,0.000002145,2248.45,2061,2061,0,0,0,1.01,0,0,0,0,0,0,0,2,,,,1.4,0,1,1,1,,,,,,,,,,,
1789681434,CWTSTpRAcmrQdNStCzWj5iBVHaSqq1wf2zX9CP9tpump,cokecat,J9wycFgfrtTMNsHAfZXZJxCkKRK7VZR6pngBZ7Px4y8H,pumpswap,1789140882,0.000002382,2363.6,2292,2292,0,0,0,2.11,0,0,0,0,0,0,0,3,,,,0.34,0,1,1,1,,,,,,,,,,,
1789681433,9psZbS4m1hxLcJ41vjRY9dd9CRHkjc1o1saS4d5STNK,S500,HsoweMrJqdrk6bCQ9zXgd4d4u1rjPENAE2F28QwLKX7F,meteora,1789139701,0.0002547,127398.61,140016,140016,0,0,14.8,59.82,0,0,0,0,1,0,8,17,,,2.16,3.71,0,2,1,1,DYN2,,,,,,,,,,
