ts,token,islem_ts,tur,cuzdan,usd,tx
1789986178,3T4ZBX6amaLpSWe8MpVpgUhaniVq93ATNXcPeNzVTxJV,2026-09-21T07:07:22Z,sat,5URyNUmhcuWdZiiQrtNdFrSbQPfq72UV2gqQasr9c19Y,3611.25,3B2k7NAifXFBzCXeRqHvHNWXKRezoj3Jy4NsvBbazGX5bGUjMfzAHZ1wDb52WRQcoviRY79sToxFPLRY8G2sHMSB
1789986288,6ZnmYTvyopEC961VGYpg9jgPA7WUVufbgvP4tGwBpump,2026-09-21T07:24:37Z,sat,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,7660.42,2tZ2GcduzcQPS35N7x1zcg7KCn14rJVwBGqrMiunnJyFNshP6iHFaTMFXRJxSRLXzsMXVs8mNxioC15Dh6mwEtS5
1789986288,6ZnmYTvyopEC961VGYpg9jgPA7WUVufbgvP4tGwBpump,2026-09-21T07:19:18Z,sat,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,19340.81,61unvMzPJbvL2JDykxR7vTAWNkkfAyBer5mm2J3vaMgvyxKw8MqiSnQdDcHifJfs2PLSc9q3PVA6D3CpfjPqoghL
1789986288,6ZnmYTvyopEC961VGYpg9jgPA7WUVufbgvP4tGwBpump,2026-09-21T07:16:48Z,al,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,21927.57,2Y9qkLW5c8RiFw5ayHV9iG4oL2YwvBWpUCFj2Cu5NaJH4SY6SfitYXL5fJQ7zMxC9TdbB3UTgfMuoJcCLWejd8JK
1789986313,9WcHM9Ts45rdvnPj2yqdgS3Bgods1QtaJZywjbeWpump,2026-09-21T07:29:09Z,sat,wae8YMC7PWjcPbM3mdx3CUDZEkkjaFAE4VxS5mF2YuN,2633.25,4hW51NMbAnQBSdmKncLzRTjsXipfh7Ni8AayqtSWNswYRtjetmfqTS5C6oq93TNxuUGV8mRTUTh9cjDtJ38GNYci
1789986313,9WcHM9Ts45rdvnPj2yqdgS3Bgods1QtaJZywjbeWpump,2026-09-21T07:17:50Z,sat,wae8YMC7PWjcPbM3mdx3CUDZEkkjaFAE4VxS5mF2YuN,21458.96,3xNVvsYwJwC1aX1dffUtrDDgjexaCUx8Q8EwwnYTcxveK3kkXvtGPKvGKZfheGpoW8REuw3FZ2SHV27hdEvJotUY
1789986313,9WcHM9Ts45rdvnPj2yqdgS3Bgods1QtaJZywjbeWpump,2026-09-21T07:12:37Z,al,wae8YMC7PWjcPbM3mdx3CUDZEkkjaFAE4VxS5mF2YuN,20259.25,2hQ7SDu8HxLa5hJYRktS8scRwVHdrkrrPPrKBXBDN1Kw88y6VVJF4gV547a3bqbrHsFEqd6uUwYST4HuZp3RJtxy
1789986362,B8WvjPmz1wJ9xPRKEkyWHFzPZoaqkKWCytgtFjhTpump,2026-09-21T04:22:46Z,sat,6qxQAcQeiDeYn3fPNJHUpKPyrSXt9Q9WtAxr3Bg7UNYw,3288.93,4bem5ma7jF7wqbXXN4aBC6mLYmuw754MdSFFz4RSinfuBn7FBoevL3Tw9JsS5dUgtjDy5DM81bd2cP5L1JTa8i8D
1789986362,B8WvjPmz1wJ9xPRKEkyWHFzPZoaqkKWCytgtFjhTpump,2026-09-21T04:18:43Z,sat,FAWsBKheRXASda2cZpFv6J8SZTjSyGkTv5ggqsL8cMdd,3267.6,53geb7NZF3fNZGhCvxZqnuc2DWdHREYRV2gKLJNPeqEcGkyCnRtuVKAGeVETzyc5bfL7S2ojxca9GAqY2LHZYyY9
1789986362,B8WvjPmz1wJ9xPRKEkyWHFzPZoaqkKWCytgtFjhTpump,2026-09-21T04:18:40Z,al,AvqDU6ssmWZvRmx7XDYDYxLmhqAcMTBwc5oLbLke2mQq,3870.86,3MgwWBTKZdXgwqBqEZ3q4KPgLjkPw6cvcTNmRVmi1GhCb28s96h4yMXRJH5uRNoLs5CtEFbeRc2mWemZfEtC3WSf
1789986374,Fx1szQQ4S7o9fgsaLjDR9a86TyKqq7LXjdvUjWJ1pump,2026-09-21T05:10:00Z,sat,9geEeDgp2FpbCbfEx2rxFBTjAb9TrUXAfkBH7UoKknLP,45592.36,5MJwyTY79HrZMqCqyC83KPb49bqAqNFTQQNDmJzwFjNYrTXk2Pya8MEvyYPZvSExWJ61XfFcuRcXfDfRjem33ick
1789986374,Fx1szQQ4S7o9fgsaLjDR9a86TyKqq7LXjdvUjWJ1pump,2026-09-21T04:18:32Z,al,4p7SeR6361WJ4T4icgsYTnzAUzfA5NwM4CwYD9kMBjuK,15422.85,4PFVsfHZ9GDa6vw2VpPQMivFJWf1WX2LvSyxXvsTsLKf79QE4oisBRqKssA4t9wzzeBip9pu52mVNPwNPMRRjRCU
1789986411,3EAX8K22K3P3Z8JGUcuPbuwtQTcf5ddURo2LdGq2cryp,2026-09-21T01:24:43Z,al,H9TMtTxBL84rqpX8uqC3TpTgM9BmE3bJDPzStFk8U1Th,3349.98,58P6gQGqEU7Hn3z3iPk54noSV1MtcCLxg9SWXvvdm5GtHe2iLpqFqBs1aijSFcQJ9yBu5toquGEB4zz9eM95GxFE
1789986497,GYU4DrNqnBam2MPBuxxp86eqvY4wXdxKoPcXwN2X7AF2,2026-09-21T04:24:06Z,sat,AgmLJBMDCqWynYnQiPCuj9ewsNNsBJXyzoUhD9LJzN51,4101.3,61airGTKDAieLn9P7ZctK4CB4AeXozkVGPH4f7bRYLadAw8TSzukVamzPcCv87zGdjU5DT2P3ixQz7nbp2yE9m18
1789986497,GYU4DrNqnBam2MPBuxxp86eqvY4wXdxKoPcXwN2X7AF2,2026-09-21T03:54:48Z,sat,FuavcVrmpLLozqhECYpycyghF7RDA3iUdRd9hLn1P7Av,3506.05,ZD2fwRwV2mv9te7YT1RFpdB8o28x2yq9ov4bMdDAoA2TwFVryD8XLo1qcXa1LZRG1fkb2fyTrpzBbrWG86ZCtjy
