ts,token,islem_ts,tur,cuzdan,usd,tx
1789959072,7ZdvLz8WAbTWGqSfiFmr9VWggoZok7T9316ERWjgpump,2026-09-21T02:46:38Z,sat,74St76Ht5VvodD1eEmoCu7V7PhY4kepjL7GXVjm8HNyE,2908.74,aMVafs2wV6kwQAkbKviXB96XhoNa1xrRDE2vvpz4sGhFq3h7g97iFagiRzzzuk4kawz8r1epkgoXHJ9a5mreUFz
1789959072,7ZdvLz8WAbTWGqSfiFmr9VWggoZok7T9316ERWjgpump,2026-09-21T02:44:28Z,al,74St76Ht5VvodD1eEmoCu7V7PhY4kepjL7GXVjm8HNyE,99000.68,3GXSWrGwgHGwNnjBPc9cAs3MJWVrSRBgKFsBb1BfFDMuEm4EzkDQevZ3u2GFJCECsPsHmKcwgVogj2XTkggMb7P4
1789959146,BmHUnfPpSbxmJdddf6ZQrrbQgNigorQdypLt4CuWpump,2026-09-21T02:46:03Z,sat,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,11045.6,4KU3qywNA8BWafzH8TKF1kfWB1Y2YNzCGWaj5qzTjgwq3kj1ouEDpncxowXnz97tj4Rvdyz5GPRg9UdVYwnHisa1
1789959146,BmHUnfPpSbxmJdddf6ZQrrbQgNigorQdypLt4CuWpump,2026-09-21T02:43:27Z,sat,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,9962.32,3r2epCQ5sKTHabC2tZmMwwznj5P2womqVXzAGS2NbaiSA3RRDDtPiZ4gVRehUPpBPH4h3dWNRbhkwfoXMb1vChXK
1789959146,BmHUnfPpSbxmJdddf6ZQrrbQgNigorQdypLt4CuWpump,2026-09-21T02:36:51Z,sat,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,21332.12,5tpA7DAcTDWw9vqen7C4mgHabWgoo657Ki4sMfxb4JgXAqw6tWgmL9n1ngHvce2UVShimARkYQ87T69XUYyVhqP6
1789959146,BmHUnfPpSbxmJdddf6ZQrrbQgNigorQdypLt4CuWpump,2026-09-21T02:25:44Z,al,9R3m89gXeC6BWc2aN9CFqWDZA5WUJP3umQUerC7gjoFs,24705.56,g6y91vxP3Ts5riwZLvdVW5Qhww2ceHjiaoQyb3DxFckcwQ1kApqzpBfnRynBaaMRithoAkYxJy3BnUYxwVjMnG9
1789959268,ajVminZu4Bm5xXngUDLhgk4qJYTw3ZYQTjywiwppump,2026-09-20T23:52:07Z,sat,DtP7cx8y95mjZy9mfP3SXNLHc4SUNmYD978TzQJjSt2A,5992.55,qAqSVBcym6FkmfGSfy5kueV52qrYXwL3hiu4Nz5UiHRQ1Q1b5kzV38q7uY6QxQ6CHdBtFj57oKFdkUW8cCLv9BK
1789959268,ajVminZu4Bm5xXngUDLhgk4qJYTw3ZYQTjywiwppump,2026-09-20T23:42:10Z,sat,DtP7cx8y95mjZy9mfP3SXNLHc4SUNmYD978TzQJjSt2A,11093.82,5tKUaTYpzPSp3rnNYHu22pEooB2bMf5TKJxLjccg3q7j6jMNc4gDXFRW5ULMq7ZdoEMGNH5HY3LgfHHZT8XyAB6H
1789959268,ajVminZu4Bm5xXngUDLhgk4qJYTw3ZYQTjywiwppump,2026-09-20T23:40:36Z,al,DtP7cx8y95mjZy9mfP3SXNLHc4SUNmYD978TzQJjSt2A,13051.05,43bL6DGtghZdzF2fp6eGGjb9gxyeztSGmDkqBH4gmXu8xekoxc4y13T8S6j2GobY911aHXNE2CnD4q73BGSc783P
1789959280,8QizAqwzibTcxzUmZMYbxCKyQCuT6zSppDH5npd6pump,2026-09-20T20:50:06Z,sat,HG2j26m9LhgjzdyHvCdfXxAUeLrc8582p3AqVre5qRMm,5329.16,5ZckrcQNAoKFYPVcWnGb1j82my1djLXaj4qEgvNEKARqnF2B2FMU8GQWWKZa1KGdHuqbx1npUSBpMbrphukVe1jX
