ts,token,islem_ts,tur,cuzdan,usd,tx
1789939348,A7AXDnGzX9z2Y9SSkSkwGBH38StNE4zMp7ajVokKpump,2026-09-20T20:50:29Z,al,CeSL1BJoeBTcjRVJUB3f648rDtgqNDdGtFuyYUpHJZaV,6598.61,NUNn3SgVzjwRfX79FEamA38MmvWYTH48wd9MZSkPPR33meTbSGUA8YrfCUFy8Pz3DPHG1CCgxZWmyMui71NLw67
1789939446,EkJXz41GqHA6ChFoyJYmW3PuhdyQsqc9JdxGFYnpump,2026-09-20T21:16:49Z,al,7PYXB3BhKdLj39TDh3n7VW9cTWhs9hZk7wrGpUFL3xZE,23546.74,2eBp5daaHz1eyPJuDrczHAPVuKUc9VLq1dHpSiS9nBDGbk3qfCWhCfEJFotAdtsGM26DWjjMzJNbU4NFjXyyn4oc
1789939494,HYT5Eh6o5GvrbuTwVGUZHSBdhmRndRXbopW6jfDFpump,2026-09-20T20:28:42Z,al,E7sWPd6MFHRS7qg6mDMSim7YDEHcrDYCrcDSNERwu22W,10679.69,3ZbGM1Lx1VKmt4JYLRuUYbRuaYAv8jNoJHAm2YaUkfRxcHNpWo44x64UEQCNgy2KEpor5ZLFsLJDY84BF2aTBYW3
1789939543,3mgavJ1bFAaK1gvxpacPWT9nPkBttPbJubFLy7K5nL4f,2026-09-20T18:22:04Z,sat,FLxJyjm6cxxAEjLJKN1tvkoc8VWD4e9tqZACswBEBLLF,2612.77,5mstZmPu8EKMgBoLnYXQncCWsF1V4L6vLJMRiC4b9a6RpiwPwjJEYEecJ23oVaTSZ4TkQerHhjvzCf13TnH1TDD
1789939555,5FL8wR86NNBbqFTZvf7vSVHGtARtLGTH8nfVjuuXpump,2026-09-20T17:36:12Z,al,E6zqjgQjS7aLeaayzQd9VAxWwW26vLaM1818PXwCZfN3,7117.1,4PvqTKpRt6ALxjBCXiPreGuBud3SRKm4DBH7LR527dwo83PBdYcn3SPmqpKzwPyFDrJpn8DPqhqJhdvKg3PJ8XgN
1789939593,CAChj6vhzvrzGhXaMKnmfiixU7V4aMZwg4nhhWKLpump,2026-09-20T17:47:25Z,al,FuSyYV4FP7Mnv6AoBpnHwrygDiehM12bBbtZ8fU2n8ob,4392.43,5qFcXXUjVtUVMyqEFFFMwuT34cxPLW57vtAs1n33vjbcSmk5Lqnu83iFpUYzJ5HcGeKm2uQL153Tg4734r1BB6wn
1789939605,DQTWAihk3zYfqqk85FHbCakDUR2GGRDATLZYA5XEpump,2026-09-20T18:35:11Z,sat,BRjVGhFnXZ7wKcvgHa35hJuzGi8eTmHWcouhfZQKuJZg,3246.82,3hwZTzBqAwH9Zy65VqtfPS5fLYcyDeeW1L5v2x9HkDijA73ueAFULLvQPEFFJJ8vt5mAMz6F9MWrLcGDPsLEMzD3
1789939605,DQTWAihk3zYfqqk85FHbCakDUR2GGRDATLZYA5XEpump,2026-09-20T18:34:16Z,sat,BRjVGhFnXZ7wKcvgHa35hJuzGi8eTmHWcouhfZQKuJZg,3888.14,5bXNJikn5ac66SW7L7M81FiXvv55Vg4VN8QPSHiRJUhfM6FUTVNE3qdByqMyS9oYiLnA7pBpk2dwWMneSbFWRZdD
1789939605,DQTWAihk3zYfqqk85FHbCakDUR2GGRDATLZYA5XEpump,2026-09-20T18:33:30Z,sat,BRjVGhFnXZ7wKcvgHa35hJuzGi8eTmHWcouhfZQKuJZg,15224.5,4YbJ6b5RtPq24qZpTqYSsVQ5dEZoqy6VsydTGVw3yfDb7ELzFAxsqTShWrsoV89pLWrQqnr8XwAUSCYPazusKv7A
1789939605,DQTWAihk3zYfqqk85FHbCakDUR2GGRDATLZYA5XEpump,2026-09-20T18:21:54Z,sat,BRjVGhFnXZ7wKcvgHa35hJuzGi8eTmHWcouhfZQKuJZg,9102.81,2Ei3PzASovFNzbEptBKauySNFqFZSCYmM6xMVZAwKkNZoqCZNqeHoihDMPWcbP2kj3gQLweNzzKTbd5WQ7ijnBdx
1789939605,DQTWAihk3zYfqqk85FHbCakDUR2GGRDATLZYA5XEpump,2026-09-20T18:19:40Z,al,BRjVGhFnXZ7wKcvgHa35hJuzGi8eTmHWcouhfZQKuJZg,21581.36,Hkh1cpjxQih5s4AwSXnYh32ZeyfpKqznAPj8g6PknWFTCUSsWCWzTy9TjXzDc7kguNghF5Juirwn1BFN9wFknXC
1789939654,Gp964s94AJqgME6DYj61FjiP719NWeT9rzBZwuX3pump,2026-09-20T18:13:32Z,sat,DtDTw1Umo8ApEhFtG1u8NneKuicbiF1GnuGgir1gq9nG,2613.85,4Qht3FoQ3JtZ46S62YZZQ5Z47ff2LEWRbNbnjUwEPfjP1cMhFBS2ahhw3o7PCCTehi2CQ2xRxiDuwCKfkwDeA1fz
