ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789893965,8zP8DhqoTGNGXHXdQfHPPWrAijWt7FkgyporQ4FHpump,TRUMPCAT,HdpWYVr9vwJ4SafX8WNjoEx3MnUXnHH1Jy4yb4zPev8P,pumpswap,1789135365,0.000002352,2471.03,2326,2326,0,0.64,10.01,118.31,0,0,0,9,14,33,170,149,,-0.02,-1.93,-3.46,0,1,1,1,,,,,,,,,,,
1789893967,FjTfaSH861nVcbAxdFAHTvhoSL4kyR6wgTWynuJkapht,DIVI,9jP2H9FbqkYQtKYkehsq3XcGn36FFb15cCo96EBu339s,raydium,1789132107,0.007768,242219.06,7768208,7768208,0,2.02,6369.86,56556.8,0,0,0,1,131,98,251,201,,0.02,-7.84,9.31,0,1,1,1,CPMM,,,,,,,,,,
1789893966,AaCBdbi8DiBvWiSjTG2xkkqeshDCSifsvYqZrkpDpump,USESTONK,9wjZeqeWphj8JGSaFW1TEYqTznn5FmLvijPWiSqW6LCz,pumpswap,1789135056,0.000002648,2916.8,2617,2617,0,0.25,7.28,101.34,0,0,0,7,8,20,112,126,,0.02,-1.03,-1.68,0,1,1,1,,,,,,,,,,,
1789893968,WENAZ2WyPbmgvUcKfQ8hyMDfBQP9bZ65hsZ5KTFrRGZ,WEN,ArXpohFUAsifyZPHsYqgSTqLyA6sQG8KMocJ6zBLG29D,raydium,1789137845,6.67,118595.37,,,0,534.96,7743.15,62780.16,0,0,4,5,20,62,402,499,,-0.04,-0.35,-0.49,0,0,0,1,CLMM,,,,,,,,,,
1789893964,4FmtvrR3tgtcUT4qkGSKJx386u6CfFno3QE7KCesXoZV,BUM,4LYDj9hpAYsqUyCfHewiJxB7MDMpXKPQNAGvxpFdoGkT,raydium,1789141997,0.0001389,32783.03,138987,138987,0,722.67,2145.61,55461.99,0,0,4,0,7,19,229,2557,,9.28,-3.23,-64.44,0,1,1,1,CPMM,,,,,,,,,,
1789893967,Fsey6rXphKexfVfcLWKkNZte9pKfehcG6oajGVS89nkW,SCAT,GBVX14UTDq3qrmNqP6nDgMgKYhUCPPAKeAhmE71gKSkc,raydium,1789156103,0.000003475,5242.52,3475,3475,0,0,0.65,184.41,0,0,0,0,0,2,4,3,,,-3.19,-2.06,0,0,0,1,CPMM,,,,,,,,,,
1789893967,EyTqw7KVLEiazsqJbekGRnTBTtmw7VX5fmVMfoNEZ5rS,CHEEMS,CfpUXd28Lg1V928MQRLhvWrV3hrws2s4cqV1yY35uhsy,raydium,1789159218,0.000004476,6108.17,4476,4476,0,0,343.61,901.11,0,0,0,0,4,2,7,10,,,9.25,5.88,0,0,0,1,CPMM,,,,,,,,,,
1789893966,DqBXBtPeMoP77D7jhCTqpBvjvHTGWDJATeo5qnvxpump,LCMM,EqdAAxivyf6v5cqP4WdLQcvw2d3y4fF5w7KSQ1ytJBT8,pumpswap,1788992683,0.0002115,38871.49,204268,204268,0,0,0,157.4,0,0,0,0,0,0,2,4,,,,-1.23,0,1,1,1,,,,,,,,,,,
1789893964,4MMQY9bwkxxTtsK3W227Q5ABT6yFY8Pmn9Ze7wmAXKY8,ALLINU,7VKhbFtkc7APwuPYTL38c3XtktPJxphY4ECLR4ozXNbQ,meteora,1789158130,0.01324,505344.05,13249125,13249125,978.18,12574.12,91251.82,854458.19,3,0,17,6,61,52,572,240,0.82,5.04,-9.89,-32.72,0,0,0,1,DLMM,,,,,,,,,,
1789893968,Tqwy8EU5zZ3cmYjMDE9SF46Bz5e5eFuihBhe7nH9iyY,CASINU,12Mn4w8EmBaV5kdansvrvSnqCHuRBJVVAXzKMcJCD3As,raydium,1789160380,0.00002793,14020.92,27933,27933,0,803.13,1986.57,7423.99,0,0,1,5,11,17,71,71,,-20.22,-10.01,13.19,0,0,1,1,CPMM,,,,,,,,,,
1789893965,8d3bQS9vNy3BfqK9dX95JRoaTbWoiuL2hzmSFLDopump,AILE,PibATxvKbXFdzrugGGZSz8CLrX35h9v6EZ9bo99TK4z,pumpswap,1789155426,0.0003487,51644.73,329393,329393,1870.66,29586.02,174625.99,311419.13,5,1,120,100,715,596,1275,1034,11.21,-12.52,156,554,0,2,1,1,,,,,,,,,,,
1789893964,4hmBjZ4NGG8HvVZridQ1ii7PKaFbw4CUMD2fudejpump,Dabo,2hV7iWgHGbjccQod4n53p9EybHtDf7VeDYXCeuzuaech,pumpswap,1789171909,0.000004182,4050.07,4075,4075,0,0,1.72,33.58,0,0,0,0,0,1,2,6,,,-1.55,-4.16,0,1,1,1,,,,,,,,,,,
1789893966,ApikwMrgm6XPupi6ggR9mCLTzXSzvnHqAQjdKgpgpump,caton,3m8SCCaFvcFVDuGX762xxyyukfoB6X94fJLfU925stya,pumpswap,1789222090,0.000002398,2563.21,2375,2375,0,0.65,11.65,101.92,0,0,1,4,17,19,124,123,,1.25,0.22,-1.21,0,1,1,1,,,,,,,,,,,
1789893966,CNTcaYTBBrSjYQXrWSL3T126eCjYnmvAhSwYBXBScLLM,​,Bg9DC5rDRBqtCZM9YTWxnisehoUooZ19SenaxEzDYfiV,raydium,1789233310,0.0001993,42432.14,199383,199383,0.92,1874.02,18630.32,64903.99,0,1,11,6,84,94,443,363,0.51,-12.44,39.28,-24.51,0,1,1,1,CPMM,,,,,,,,,,
1789893964,3BzHwZCLoaKMK3co1PDCAgFfeLKexTVJb2dWFX18BmKs,KUROMI,8PKmJbCoxcRNjgBjTkuUnHF6F9YK72EvrBRuybLBJSFg,raydium,1789245589,0.00001269,9010.15,12692,12692,0,2.99,216.74,1079.14,0,0,1,0,2,1,14,14,,-3.37,3.87,-8.9,0,0,0,1,CPMM,,,,,,,,,,
1789893966,AVAwh5NJArC4aa6fGx6zrkpLChNEcGRxMjZS9P97k5Um,STONKSZN,5AMysRqX6btQ4ezxuEQYqkk29apAuxDCK4fFWdQYaxhN,raydium,1789062088,0.00002222,15372.72,22225,22225,0,127.32,436.22,2293.16,0,0,2,2,4,5,17,23,,5.35,-1.52,8.43,0,0,2,1,CPMM,,,,,,,,,,
1789893966,BmhfH3W7JdEe7UGkw47m1EH8F6ov3M5jDc222ffK9Eeh,DCAT,4vCEftSpSWt5kc4DkQ9Ehhj3mxdnEkFutkDS8wjx6c6M,raydium,1789247041,0.000002843,4511.15,2844,2844,0,0.14,82.54,184.55,0,0,1,0,3,2,5,14,,-0.85,-24.42,-21.29,0,1,1,1,CPMM,,,,,,,,,,
1789893964,4wmm49P3dgjmRhUx7hUS7fePTn3csSQzVXGxt6DKG113,CLCTV,96TnRrGCreVhwgaDRL2AnA1PfdAR18fyy7qRijhnpfU8,pumpswap,1789013902,0.00001227,8039.85,11828,11828,0,133.83,1305.25,3973.7,0,0,0,1,22,21,103,69,,-2.71,-10.58,-33.27,0,2,2,1,,,,,,,,,,,
1789893965,8gyTV3fG5JGx75DsHfUdJGfxqwSX4LZ2aprjamyYMREV,ROLL,GKgv8ovG1UEBLkggiTGngwwwQHqMmSsA4Qm8Mt1pW9Vp,raydium,1789247804,0.000001990,3854.42,1990,1990,0,0.23,0.43,37.65,0,0,0,1,0,2,0,44,,-0.37,-2.32,-6.29,0,0,1,1,CPMM,,,,,,,,,,
1789893964,3b9JSQ4gnbzw9KVVNfdVcQxnKDi9urJAFvzJJpsWEgt8,UNITY,6E5vKqcneegfsHLi8dspzsp3S3urXvkSDp6dp6zAjZSJ,pumpswap,1789246238,0.000002964,3240.15,2926,2926,0,0,0,127.79,0,0,0,0,0,1,1,7,,,-2.21,-0.32,0,0,0,1,,,,,,,,,,,
1789893964,4YkVZe57ESXywBGC4mzbYVrHgK8Sno7aNx2f1HsKpump,SCAT,FWrWKsGpJ151iVE2EENf5vxw52fQA2Lda8RexH1ASzS6,pumpswap,1789250184,0.000002358,2390.58,2275,2275,0,0,0,2.19,0,0,0,0,0,0,0,3,,,,-0.62,0,0,1,1,,,,,,,,,,,
1789893968,Hy1LfQLL4zLQihmiQKZm7DQzXm5K8aVSfKtdHFYXbKMm,AMBA,6c77ogPMSVy3QYbDuFuSGCiQAytqwRGLN8qTfrWbTCxg,raydium,1789037713,0.001269,115141.36,1269583,1269583,367.13,13644.22,62690.86,207073.83,0,1,16,38,226,145,617,529,-1.27,9.45,22.73,-12.75,0,2,3,1,CPMM,,,,,,,,,,
1789893964,6A33arqkS7JJMb5ZNQsWE9Brm4t1nc6ZybNvCx8K8L17,ARMY,4ZJxcSTVYGKQDKY2WtBY7WAcmizA5rAL6QALjz9rqEpY,raydium,1788690832,0.00003253,16035.8,32539,32539,0,0,1218.54,19584.81,0,0,0,0,6,2,100,82,,,26.94,87.26,0,0,1,1,CPMM,,,,,,,,,,
1789893964,5WM8iNEFeiJY6Da71VgrZCKLQQkKacpgMWV7Drghpump,Moof,51bUDZRjFMTz2WE1C9xHyKsXCQoQmeCNxVGcgCmrZFsR,pumpswap,1789053416,0.00007165,21792.42,71616,71616,0,48.2,300.45,3755.61,0,0,5,0,21,10,107,59,,0.49,0.56,-33.18,0,0,0,1,,,,,,,,,,,
1789893968,J53EGLkGxyC3mh45RVWxYtETEj2T9G3YnUPX5nn6AXGc,EBT,Ct95dqvF3kqhcnEFaQYM8wkvHypy7j58yEGYJQvyHHd2,raydium,1789313427,0.0001236,32731.26,123673,123673,0,28.03,12963.12,29124.28,0,0,1,1,48,40,118,92,,0.31,54.48,73.07,0,0,1,1,CPMM,,,,,,,,,,
1789893966,DjtYAhSeN55XYLtCEKjF7M8ajZCvVzEFtVcKq8bTpump,슈바오,HBFHntrvw94sKRXP4wrYmVYP8Cnvm5JweDa1H1mbaipD,pumpswap,1789317554,0.000006013,4990.83,5825,5825,0,17.23,82.67,961.42,0,0,0,2,7,4,21,32,,-1.12,-1.76,-3.11,0,1,1,1,,,,,,,,,,,
1789893967,GAcwUMhneCHmxbRyYzPpHhp9v67Biy7rVypXD1Zfpump,SALARY,7CorP6vfETqQEDEEHfBxmpEBXoYPowBhPE3DYEZe3iqV,pumpswap,1789317464,0.000002509,2494.78,2272,2272,0,0,0,0.92,0,0,0,0,0,0,0,2,,,,-0.48,0,1,2,1,,,,,,,,,,,
1789893965,9JKxJ57PDn4mfo4KPkVUiLQvt7bFFr9JostHLRpkckej,MARINE,EmcQyL137VPZs4czpgjTMtPcr4SVNWAJENQLKQGgyvUN,raydium,1789329116,0.000003283,4915.35,3283,3283,0,0,18.96,94.33,0,0,0,0,1,3,2,10,,,-4.12,-2.2,0,1,1,1,CPMM,,,,,,,,,,
1789893966,BynJn89W74YeNxbbxWW8q2njtz3ZrfzTjdEN9XHJpump,SOL,5AS7N7RvgWs4PLbPrxNTm18nYstYFZkN7uUeKB4SdbGG,pumpswap,1789331763,0.000002572,2544.4,2307,2307,0,0,0,1.18,0,0,0,0,0,0,0,3,,,,-1.43,0,1,1,1,,,,,,,,,,,
1789893967,GEaPJ5FY3zY9y9SK6fEeL6X8bNGdvCTT1fnB51xQpump,BILLION,FcH9EqfRCUzDrTQpDXEwMWn7i4RQTbGUTFBzT2o1NRsj,pumpswap,1789332974,0.000003182,3503.74,3052,3052,0,0,3.86,449.46,0,0,0,0,1,1,2,18,,,-1.6,-28.51,0,1,1,1,,,,,,,,,,,
1789893967,GB2ZhQCay1orWFADSW5Y3o3LZZNQBCE1JisPHETWpump,BIKE67,FqVzJBNWq9mYraHeSxLohteVgFG1GpSRX8Y4ZPbq777z,pumpswap,1789354966,0.000002321,2606.68,2260,2260,0,0,0,0,0,0,0,0,0,0,0,3,,,,-2.67,0,1,1,1,,,,,,,,,,,
1789893966,AVX2DfkwCeq9aGoDKRsjDMQgmJ77RPTmfntjRGNipump,flashbike,CyHFD7oGmpyD7t8LRTySUrq74otJ4VJc3DjWdbTk1LiB,pumpswap,1789397045,0.000002253,2315.02,2194,2194,0,0,2.65,16.11,0,0,0,0,2,3,17,13,,,-2.9,-3.39,0,0,1,1,,,,,,,,,,,
1789893968,RtD743YX86ixJ5iaVCWG5cp4LuySDKxpbMj9yLupump,LOL,CnPb9RkQJFGC2exx19yXnVC7eWJY91gepC2uf9z9Cbjz,pumpswap,1789393142,0.000004162,4367.52,4054,4054,0,0,0.05,9.14,0,0,0,0,0,2,0,8,,,-0.94,3.96,0,1,1,1,,,,,,,,,,,
