ts,token,islem_ts,tur,cuzdan,usd,tx
1790164143,4EXKnYf7at8s5msWqZbjWd7DMvgV222L1dYsttCFpump,2026-09-23T11:40:00Z,sat,FqqDFqDhRt5SZyvyXGFrxdpk4csgma2DuvijfRNBY3XY,2660.83,2znZWzi71aTLvqw5PTUHmrE5LQiLMQS9uQB9xeouyBnCkMNaW1pbaHwxL8dXPpTU6sBnbnCggQMkKBfENVWy5zdP
1790164168,5qHRY1fbkreVZTEfFj9eZ7b81c8Y6mBpaZgmAwUTpump,2026-09-23T11:26:55Z,al,2xmviHB51QYVDY8qPuDWmAdBh5qEtwCwns11Tg7yCbCA,7562.43,37r6KnWPe8wEJHFkPz2gDqgJTCnx1Ki52FaWtWQcRzKEjBou49TM7DxGZAMC5g8iiaMcMm2K4EFXZJ7BL4vxgiQj
1790164192,81n3gLm6AP2UrVTZfhiJjyKnS7JrnaK6bVp3MMYApump,2026-09-23T11:42:15Z,al,ECWi7eisvHqCNFP2BHD5NF8yMatdWP96wBEuQS3W76Ne,23067.46,5qVvpmnmCLgxfgc79zrzWx88Q8Hvr5nrvMcG2QVNzn4xqmkBGfKEajmdy1niRpziDo6xhdP6cFwLmBjKvyGks5vT
1790164278,2jcvq8QcJ8TzEYJKYMCjR61kXVSzib4mEkz89tQxpump,2026-09-23T08:41:32Z,al,5cytp5CRc34XfbFFfoBafFRdxmAUjERgrqqfKJiy2cF5,3039.18,x76KyYDMjqfFYhHQtjpcJfHUqGh8SxZbQuGaqGeZZocA8Ef4uJd6d3TMftqs4Yes1T6HRCs1QGinhZPi9heWBdZ
1790164397,DogHi2ZyMVQGFmD99onW4bNNtdqSQb97dBcXLnza1pEG,2026-09-23T05:45:07Z,al,Ge8ztT6Vv4MUQpHuQd732uQjFgGFaqDnAx4i5ymnfCBs,2914.23,5ThuwvanAq42gjTx6yWhZenssTht3bHpQn4JWx5jucEcLkR8z4R27fnz8JtKpEV3jDzPrfBmyzMMqiDyoXfmudXC
1790164413,Dx6R74q5zbHWR28Zt4KnpA9ZgMzZXRgNiyiZ5bFzpump,2026-09-23T05:49:50Z,sat,AsA76pjNLKd1Es7g9Uo9yzbGk2y3Vy5b26kd4gjXMefv,9471.37,2TbEQn9WRa9KwrWb7wDNnkgupeHcJnTG1ZjQg1JZam3Gypqt24fUwTwtV1iR4pPwDD6mc6aWzSPQHm8feao7pMm6
1790164413,Dx6R74q5zbHWR28Zt4KnpA9ZgMzZXRgNiyiZ5bFzpump,2026-09-23T05:45:54Z,sat,AsA76pjNLKd1Es7g9Uo9yzbGk2y3Vy5b26kd4gjXMefv,23236.11,56BJ2DyBTzez8sV6U7HUbLz3PLiVvKz4rLphKxzSdKD6jzU6xrzKG3uyjWfJU7NuaVtZGuWqKwbU5w3Dr3iwfaws
1790164413,Dx6R74q5zbHWR28Zt4KnpA9ZgMzZXRgNiyiZ5bFzpump,2026-09-23T05:43:03Z,al,AsA76pjNLKd1Es7g9Uo9yzbGk2y3Vy5b26kd4gjXMefv,31582.06,39ZMFkuxEom1g49vt3rV5hLp4JqesbvVCeuCbby7NiT68b2ec1k6ZGr2QvuocsD2tdnJN7YrYBG1s5az5cVLpqC6
1790164618,CUKJkyVs5F6RVfcHptLHJ9KLW42ME3so3vtWbF8fpump,2026-09-23T02:12:54Z,sat,4LcCHiXLydzePUy3zt7HCdw9eFJDL8bWXZFRVcagak8y,3129.17,395tuPRTtkqUcQyyBRVuzwSikg94pPicFbwYAbT9WwbHaaCJygE6Xm2SMX2KRV7U9CW6bRGTcQvHPx1Zg4i79uKk
1790164618,CUKJkyVs5F6RVfcHptLHJ9KLW42ME3so3vtWbF8fpump,2026-09-23T02:10:12Z,sat,GBsZjBmE99LnVVvJqMtEpGWgtDMoR2jmLW4rjQqMwAvS,3187.4,2GbwArqivmoMXWjkt4ZzBYeHtwZXGPDQ3ChGPjwXt4hiiayQXWJxe6TeZC4hExSgdomZp6DN68WboMPSFoe7pjyT
1790164618,CUKJkyVs5F6RVfcHptLHJ9KLW42ME3so3vtWbF8fpump,2026-09-23T01:57:06Z,sat,GBsZjBmE99LnVVvJqMtEpGWgtDMoR2jmLW4rjQqMwAvS,2955.42,52NaKMX65ZvWwG6CXTkBju5NEonWrEvB5DcuySmTE27sEY2mH3Jn5dJ2vgvQdR76UBVYhUsJXiVLVHavyC883t5E
1790164650,D9VyFdhDkhFH2t5wwnedJoiRFGRmf4N6KM1TfuRppump,2026-09-23T02:50:02Z,sat,9qZvANPkPE6NHoj5W5BzJ4gb4byaVqvg1V4JCJBfiK2m,37808.54,2eR2NbDhJs1L1hcAxiMrEW1JQ2Pnv23vZquJwqwMcsE87VXk7TGzMhgaRreHqW8Qq8TJ4TGwKNr5CeMAjGu6nBP8
1790164650,D9VyFdhDkhFH2t5wwnedJoiRFGRmf4N6KM1TfuRppump,2026-09-23T02:05:32Z,al,BTmCme13XXrD3VLxXFChL9VnmicJ5PjkVUpAsjrooEYh,18683.19,28PHR9wMCK2wF9uhjzGue6dscR8ZBNwCXmqTh1zgJWfGdjRWzXAgBhcmJCWmeUFatY5tRXKgV8u4gnttxmUby6r1
1790164681,Du2r1SrGZMjw6e8Fr6dVFz9qf4zW66LeSRV13w69GX7h,2026-09-23T02:14:35Z,al,2CQgjcdNEo7WtbQLpJTAVcC3Ga61pNvRDTgP5grzctFG,3831.28,5DyHTwGgAWsZrrUMNaEWagV5E4DxT8Vif62Kpti9wMWVq4ut4iDmPygyYCYFfHqVvUQPQzLnDeJUJHgGSNecAewg
1790164697,FVTUxu2SAsgoRaWHK2RjnNNkdLNkPWYER1WjHPrpump,2026-09-23T02:16:28Z,al,A8yCtfXB2VfyVxzj8gy6F2vSxiPkPcz8yquiusbT9yfW,104953.25,4UmsKoKe5VgAGefD8bUF9mRAKia6SxxuWh2BngPMZEPdR2HvqHKJsfbUobWB1aTnXR62D2MarZNAA8KD6jvkx4rW
1790164713,ZKxZXxyVErh2rNvuuRGnZvBGSdHHKXhri5cAeu9pump,2026-09-23T03:22:49Z,sat,4sHCdjJeBfGdSsHkk9yMAspS27xWMTpXsWvt2qhTHdB8,8891.13,5VTkCm7PWb5895RRqTYuiiVxZGz2FkDztgmojxFoFrDcwVUCUVevEbcY6e4aNstmraWM8SxEZyw2rTXD1urS5UiZ
1790164713,ZKxZXxyVErh2rNvuuRGnZvBGSdHHKXhri5cAeu9pump,2026-09-23T03:22:49Z,sat,4sHCdjJeBfGdSsHkk9yMAspS27xWMTpXsWvt2qhTHdB8,17340.25,5VTkCm7PWb5895RRqTYuiiVxZGz2FkDztgmojxFoFrDcwVUCUVevEbcY6e4aNstmraWM8SxEZyw2rTXD1urS5UiZ
1790164713,ZKxZXxyVErh2rNvuuRGnZvBGSdHHKXhri5cAeu9pump,2026-09-23T03:22:49Z,sat,2ejJrU2xdWeuy6MjTCgKZ21CfQ2S5jQZFsrSU9aznyDD,3253.23,5vmsaXnoD1tDnmvLz4WZLRPMgL5gGiCTUFTAZUgPspZvLfJCXzdXs6ef57cbgy7mfxfFBtcaovHdN2HiouV4JZhW
1790164713,ZKxZXxyVErh2rNvuuRGnZvBGSdHHKXhri5cAeu9pump,2026-09-23T03:22:49Z,sat,2ejJrU2xdWeuy6MjTCgKZ21CfQ2S5jQZFsrSU9aznyDD,4499.13,5vmsaXnoD1tDnmvLz4WZLRPMgL5gGiCTUFTAZUgPspZvLfJCXzdXs6ef57cbgy7mfxfFBtcaovHdN2HiouV4JZhW
1790164713,ZKxZXxyVErh2rNvuuRGnZvBGSdHHKXhri5cAeu9pump,2026-09-23T03:22:49Z,sat,F4x7gNeq7s2Y42QEEzrzPMAM4WaZJFb9v8xwjXmHtFfN,2614.3,3DpdhgJPX25CDkhtPXCxcfHTrafTF2mrs8oHE3eFbMRvKdoq35wMofx4rxX43sxVrgB3uDUHRCYVJasSWmQWt7eY
