ts,token,sembol,kaynak,ilk,pair_yas_saat,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket
1789106474,HunmXDXMNQYVoDnUL6PNnSYEtFaTZA2WzGh1HJTW7aoV,LOOP,boost+profil,1789106474,3.07,HX6nX5hd143EuHnvb5n7iTSuEBsEx4k9Ne6zyCYBbRMi,raydium,1789095430,0.002681,152313.96,2681600,2681600,22824.78,223550.6,1384227.11,1384227.11,38,16,456,199,4563,4442,4563,4442,-18.78,-18.27,5606,5606,30,0,1,1,CPMM
1789106474,4JGAe6q4DjJLFrerLufsZ22njUzJXopeWTGEbR5Gpump,RICH,profil,1789106474,0.17,BW8yMeh1DU8NfceQTp2G3rW12fnaPMYCbu8ysiG1kF7H,pumpswap,1789105868,0.0001001,25255.9,100132,100132,99178.23,223048.95,223048.95,223048.95,1285,1351,3076,2828,3076,2828,3076,2828,43.64,144,144,144,0,1,1,1,
1789106474,2bRoY87nsBq84TTKJKFD5gYxVLPhrTPKK9MaheSLCCLg,UNC,profil,1789106474,0.63,4UzewNYxrvNzATKiSDXjynL9krknGX4vzUxbnj7WtCBw,raydium,1789104206,0.00007274,22756.19,72744,72744,7611.54,189301.63,189301.63,189301.63,79,71,2410,1467,2410,1467,2410,1467,-18.8,78.81,78.81,78.81,0,0,1,1,CPMM
1789106474,AopoH5CpGf6xss3V8fqwvF5sJocsBdJvPmZYygrcxP72,COMPANY,profil,1789106474,0.97,2qGNfMfwi1nmHSVgDeeA7c3vpBgAmBXWrsMiKTG5Ln9d,raydium,1789102974,0.00002814,14834.43,28141,28141,757.85,543566.88,543566.88,543566.88,22,13,5415,4322,5415,4322,5415,4322,2.5,-32.54,-32.54,-32.54,0,0,1,1,CPMM
1789106474,8tJH2pWSPX9epYQLX634TwzNhRws4Zfx6ggxeCG3gHye,HORSEFLY,profil,1789106474,0.67,BqqizuBYuotPtSnwtTzsfu5MW8oTKHZSPfnGphiXLKoD,raydium,1789104051,0.000003613,5032.48,3613,3613,160.65,23105.65,23105.65,23105.65,2,4,241,249,241,249,241,249,-13.39,-91.27,-91.27,-91.27,0,0,1,1,CPMM
1789106474,EPHtWbVJ5qDd1KRu7LYaFVT3wUsX631gga6grtfnpump,Flycraft,profil,1789106474,1.18,9W6QgtYXEBjztYGarTWhQGYWFQos5u3oGw62PhdzJHgB,pumpfun,1789102220,0.00002724,,27245.49,27245.49,4356.25,82049.25,121872.85,121872.85,68,37,1273,797,1795,1210,1795,1210,5.71,196,816,816,0,1,1,1,
1789106474,FvCmqaEVQQUA1cxsvCv7qFcMT9zAjrcyuyzE24X5STNK,BALD,profil,1789106474,1.48,A8aCGCo7R9Br8rvDN6a97tdZHeF8fjjHpHJMYpWtNPWD,raydium,1789101145,0.00007200,22654.59,72001,72001,917.06,29085.66,192884.91,192884.91,2,6,155,138,1182,1102,1182,1102,-6.41,-10.11,72.11,72.11,0,0,1,1,CPMM
1789106474,3j9ftknFs38qmjD3TF8J3nhR66MraZcuyZxXHZ6Zpump,discat,boost+profil,1789106474,1.0,6HkGoF7xsq6sGrh7MD2BT27pQCoZsofffc3g2z4KpWWd,pumpswap,1789102865,0.000001927,2002.43,1898,1898,0,311523.84,332311.45,332311.45,0,0,4309,3782,4460,3817,4460,3817,,-98.53,-97.57,-97.57,30,1,1,1,
1789106474,9wajV6qL342kpEaV3J2WXWexeajFFvJVcBXXSLebpump,CANDLE ,boost,1789106474,55.16,FLdXSUNPdz79n5XZeyCpKYekpgEKubPNv6uoo5hKhNJt,pumpswap,1788907898,0.00005937,18711.2,56992,56992,0,25.36,1591.98,3852.27,0,0,3,0,20,19,102,60,,0.71,8.47,29.56,20,1,1,1,
1789106474,3XQZDtpn5QisVxcvB4sAReoknWnooU7yM4YCQtj45nqp,FARTCAT,boost,1789106474,43.69,85aGuq5zEUUU6n16FbRLHBA8Y2GpN1rXnr5RZLgnsZmq,raydium,1788949208,0.0003281,48272.16,328131,328131,108.58,13487.98,77134.07,287314.21,0,4,62,50,318,381,1627,1348,-0.89,1.43,126,118,10,1,1,1,CPMM
