ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789368798,AgMWUmbKycV1Pc3X3whJn71CEdbbarDQx7q2f5AYpump,Doodlecat,5qx4Czs6SzwWtUN5rnfuVK1YgJXJPmAVYahJJjhzEuQt,pumpswap,1789109605,0.000001822,1861.98,1822,1822,0,0,4.99,4.99,0,0,0,0,1,1,1,1,,,1.02,1.02,0,0,0,1,,,,,,,,,,,
1789368797,4MT4NAgPGXLa6ZCPdCyRWPKZsyD22Y3rUcUZhLjyqJar,OSMA,8Ax75NZniL9cowGMQNjuEQDvCKNQ7kKyDcrYFrBsu1kG,pumpswap,1789115327,0.000002428,2458.5,2358,2358,0,0.13,4.31,79.19,0,0,0,1,0,3,1,22,,0.39,1.59,-6.45,0,1,1,1,,,,,,,,,,,
1789368798,Ect9FGGLm7eb1SBsjGFdkGvV6FsrArPWtwAkzNZYpump,ASHIBATON,EhPToHyb2MRSv2eQ5zkQgiyoq7QYzswRAtGR1AV2mQrR,pumpswap,1789115824,0.000002094,2242.42,2038,2038,0,0,21.13,30.88,0,0,0,0,0,1,2,8,,,0.46,-0.96,0,0,0,1,,,,,,,,,,,
1789368800,u24BzZQ7QSQDC3HMUE7dig9fWSUqkZbQuvLsw811Hue,OMEN,6pvBaeq7eR9e56V63aYqJPLup5YnjrSDEnUYTWPZPqoX,raydium,1789152670,0.00004675,18972.07,46751,46751,146.87,278.29,2867.58,20282.37,1,3,4,6,26,43,204,189,0.94,3.16,23.12,-28.6,0,2,2,1,CPMM,,,,,,,,,,
1789368800,vt1U99VPRXXCbfyG5XHmxjuf2G7aVF1n4gwMPcpoZnw,DOGGO,8DMc59rMum44ZsefF2uofA3khT8ryPmoeF5mqG6DXbRP,raydium,1789155605,0.000002045,3902.33,2045,2045,0,5.06,54.71,107.36,0,0,1,0,1,1,2,5,,3.67,-6.77,-7.85,0,0,0,1,CPMM,,,,,,,,,,
1789368799,WX2v776Zu2yQT4LjgShsDcRJRePQPzhZG2X7kidBmag,MAGMA,AjBYMYeciW9VjmQQMcyAKdJp88RDxGnVg4PBn78fuiCe,meteora,1789173968,0.000002335,4081.35,2335,2335,0,0,9.89,22.53,0,0,0,0,0,1,2,2,,,-0.59,0.29,0,1,1,1,DYN2,,,,,,,,,,
1789368797,6fAQyH8Q7Fj8fBuKv4HWTTmDNnzo461jqYZdEytCpump,6,7SW2iyonfLsYQqE3rpJ3pLWekHgUwbs8QZBLLm6je9zr,pumpfun,1789175647,0.00002637,,26370.75,26370.75,0,0,0,0,0,0,0,0,0,0,0,2,,,,-0.01,0,0,0,1,,,,,,,,,,,
1789368797,83CHCpuAz2AcNzYgPzbHpRUphSSgu1EfpceCzYokpump,worm,2pRvPj93pyFGNFERNgcmxtnFkZ6tb9VEJfjc4ApkaVxv,pumpswap,1789175227,0.000003670,3368.67,3547,3547,0,0.27,0.27,798.61,0,0,0,1,0,1,9,37,,3.03,3.03,-21.42,0,1,1,1,,,,,,,,,,,
1789368799,J1U1BWkVUDtujjkew4fCGwvUteeaJwDirEkuPcYCgALL,ALLCAT,5ZaeDM3kecqCgJBx8LWGapmgW3ncv6Ldvmcmbhqy9ZUc,pumpswap,1789159703,0.00002372,12845.8,23016,23016,24.96,700.92,4473.58,62664.88,1,0,12,13,78,79,694,725,1.54,-0.55,10.36,6.28,0,1,1,1,,,,,,,,,,,
1789368798,F8ZreugBAokXk8wU5FUe2EbLhCHxDKMTx82pfZryHStT,STABLE,3omYN1QDue8eJuRdX91xeNY5ACmLTB1pR7z6joTiPbD8,raydium,1789179067,0.00003638,17404.1,36385,36385,0,177.21,11784.9,45061.55,0,0,2,2,138,111,611,473,,-2.83,16.47,-13.88,0,0,2,1,CPMM,,,,,,,,,,
