ts,token,pair,esik,n_islem,n_al,n_sat,usd_al,usd_sat,tekil_alici,tekil_satici,max_al,ilk_islem,son_islem
1789310786,2NmpHiz83ru1b1WTjqz34j4CCcSTeeSKHbh4UpbKUXjU,EEWtypdaf5dbhEuEiWFKwPXtjsKfct3tsWDFmcBhAjde,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310811,7bUZBJZvSRS95z9NNiaSThqywWTRXYKKyorwXCs39Tyr,Evz65RpskfZSCZXrgTDsP3UhEookjiaxVUUh4Y4eNJQi,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310836,9YapDk2KF7T5gfneHzcwo6PFQ9RnZ7ur8fvPugxv44pd,BQzyeA1szxQBha8hwoPzc5DJJpijpi1DeNX8RkJN28iV,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310861,9duLCMPB4iLr19KqwQazZg8jgZBB7cAy7XqiMC9WZZuZ,G8BzJdyNg7Ax1YAkqvC3qhhmNAaatPMz5mknBhiUi1Jb,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310885,CEHHLxNb2uGMECx7MRojGPV1fK2XZee64VPg4PbvzU5K,Aey3QegtrGSnpnAKTa5N8q9bDcFFgXL6EnaqA8jTjFot,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310910,DH3AxGY4v5TnSzbUEAuJGHUH1DjDehoYgyD9iu8QRwJA,5wLinPGHhZmMFH3jNH5dkPxZa4dTLJ15Q2Buwi5bE8uf,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310935,DJAupjPv3kWw2vGq2BSKBBAzhknAnitCS3rXaVWqh663,3Hh9fjoo1bh1QtkwkE519bfvgxwoPYgp2nuSEGS9nt96,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789310960,DtPYYEi8T3N7sPr6KVU6Sy83VbSnEkSMNwJ5Ayespump,4xwzTT8kh554vHLQY8wiyxk3iLN7TFs8M7zdiggS9Vmg,1000,2,2,0,7884.31,0.0,1,0,5424.42,2026-09-13T13:25:52Z,2026-09-13T13:25:52Z
1789310984,dv7ATYSrEKVidf2qTAbw1oEjr7NzpCzmY1VTqaYpump,Bqq2SKo4RZYS8fkeg6XLf1UwdaVUEsVt4y1kJF2Kpd2H,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789311009,fairB7Sv8zfnNrXgEVVNUN7MW66sJ4wVmbaRGtAKAsv,8K6tpmhAawCcfeBBuqDBH8WeUsZC2nd8FDVLDbgMdSam,1000,2,1,1,1950.82,1947.36,1,1,1950.82,2026-09-12T16:58:24Z,2026-09-12T16:59:57Z
1789311033,ywbQcjnGCmmQ6BWBkvooY4EwpkDHz4XX8iRRARGtVas,5gsBCaUewrR13Yqv11ex4dTiDh7SEiyYjCkEgvCN5zVQ,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789311045,2qub6qTDxGk7TtDWg2hMYRQbVGPq1zx5NMCwqV7GHe2T,9PBjYHwV7grEeWjAkQ6BPXj28R9AsFjiF9vENkqzDNsE,1000,13,7,6,51651.14,11818.6,2,5,39684.14,2026-09-13T11:35:07Z,2026-09-13T11:56:07Z
1789311058,52obJ3QAJnUGm7PfdsJ8QpKrMN2yoJeCcdTnL1N3BamP,7QLtt7vRpoF7YfqDSKEKvsi8w75d5n7m82iZBZfurHSC,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789311070,5UmSVjR3iDa6WNJszWbpZc3KXYuiywo4v8dWCm7CMScU,DeZ7nrwfgk7heGTY5TmbCpQNGBAgsKSt3JTohznQcSfV,1000,0,0,0,0.0,0.0,0,0,0.0,,
1789311082,7GiD416jQqAKRFV5Y4V2iDg5RG6xej7MVLFVdTkeJtLp,71mMqWyP6rxi2h75pJGr6NfsGq67jKTMk9ygtQDygpmj,1000,0,0,0,0.0,0.0,0,0,0.0,,
