ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789219138,2bRoY87nsBq84TTKJKFD5gYxVLPhrTPKK9MaheSLCCLg,UNC,4UzewNYxrvNzATKiSDXjynL9krknGX4vzUxbnj7WtCBw,raydium,1789104206,0.00001840,11800.35,18410,18410,10.08,496.92,8384.81,111228.19,1,0,10,7,107,89,1167,856,0.29,12.44,37.96,-59.12,0,0,1,1,CPMM,,,,,,,,,,
1789219138,3XQZDtpn5QisVxcvB4sAReoknWnooU7yM4YCQtj45nqp,FARTCAT,85aGuq5zEUUU6n16FbRLHBA8Y2GpN1rXnr5RZLgnsZmq,raydium,1788949208,0.0001120,28726.64,112085,112085,754.47,1806.94,23805.22,137415.22,1,2,12,14,264,149,1055,618,-9.01,-9.49,-13.51,-67.8,0,1,1,1,CPMM,,,,,,,,,,
1789219138,2YhZUBBVxoDAEtXMhkRjHvAHvkDibyxN3ABHQ9Sspump,CAT,AnL7ZGja9PQQJCUSPAPY32W3VaRmWkTeZquUZF2KYsW8,pumpswap,1788931045,0.000002977,2836.96,2877,2877,0,0,0,119.4,0,0,0,0,0,0,12,13,,,,-6.23,0,1,1,1,,,,,,,,,,,
1789219138,2RX8rVoMSCQkDMKeDLNBRc2mXDoTevx77T8gTQ4KkdPU,CYBER,2YtcCVNjo8Gi7WKeiYMkcvc7EPQZdfE65TYZJXm4eMuq,pumpswap,1788930538,0.00006970,21539.66,66639,66639,218.5,707.32,4529.79,58715.26,0,2,3,17,73,86,798,715,-2.88,-9.68,14.78,199,0,1,2,1,,,,,,,,,,,
1789219138,1HQAydhWYYauYZYG9NDsLejMFeQ8L9XvYMfQT8FcNu7,cumcoin,GhTuHrNTGaJET6HqXT9dNuqtaXmKixBxGPGsBDyAQgQj,pumpswap,1789109232,0.000002178,2169.21,2064,2064,0,0,0.13,551.12,0,0,0,0,0,1,3,54,,,0.09,-39.05,0,1,1,1,,,,,,,,,,,
1789219138,2abneGCt5fSS8dxd2azxSb2kxxRFbdthBCj8QsWBpump,COST,BjuHMaVzn551GXr11WzCJ3dhyqeMf8ivpdhrpHwqLKkj,pumpswap,1789110031,0.000001923,2007.52,1897,1897,0,0,4.59,4.59,0,0,0,0,1,2,1,2,,,-0.06,-0.06,0,1,1,1,,,,,,,,,,,
1789219138,3ATzi7o1pfpJE2g7zBMJhT3g3UunJQmEZvMrpMp7YnYr,SANDICK,56yTwbs5HYUgVYYMNjYGzndtv6LDb2rB1Tyn3ei5nf6X,raydium,1788710203,0.00004357,18339.59,43571,43571,0,1115.18,1429.71,26298.88,0,0,1,1,2,8,104,118,,-4.27,-6.61,-38.56,0,1,1,1,CPMM,,,,,,,,,,
1789219138,2U8a4TXHHC2g43qnVm6JdmLEGeJX7s5c4PJx2Z5CpKDv,polycat,6J3UBNWvLT7CAsZ8PLCSFwWCrLFMf4wu8pAn9YCDgrW8,pumpswap,1789110659,0.000002220,2270.63,2155,2155,0,4.92,56.48,406.52,0,0,0,1,0,9,12,53,,-0.24,-4.92,-12.01,0,1,1,1,,,,,,,,,,,
1789219138,2bDQvnvwd7rNbm4o3JNdN6z9c7MVzp4yqHJPNXPiSTNK,BITCAT,4A8GQDDuye6feH17QqKK1bxK4czznVhcD9oUhyXt5f7H,raydium,1789018057,0.0002894,51931.16,289405,289405,824.68,4822.71,41855.3,336631.75,6,3,42,45,345,269,2157,1524,5.81,-4.23,39.72,-24.57,0,1,2,1,CPMM,,,,,,,,,,
1789219138,2izJtroxJk2rECoDt5V1NQfoLowupMx6iZtGy15fpump,computer,CPYDbPFoe4247Uh731Md3ZDJ2e7RoauYbNtGbfaiEp4g,pumpswap,1789112589,0.000002150,2272.23,2077,2077,0,0,6.84,69.68,0,0,0,0,0,3,13,28,,,-0.36,-1.95,0,0,0,1,,,,,,,,,,,
