ts,token,sembol,pair,dex,pair_olusma,fiyat,liq,fdv,mcap,vol_m5,vol_h1,vol_h6,vol_h24,al_m5,sat_m5,al_h1,sat_h1,al_h6,sat_h6,al_h24,sat_h24,deg_m5,deg_h1,deg_h6,deg_h24,boost,n_web,n_sosyal,n_pair,etiket,gt_ts,alici_m5,satici_m5,alici_h1,satici_h1,alici_h6,satici_h6,alici_h24,satici_h24,kilitli_liq
1789444164,AuXiroMNJbGHbsaehHrAS9rEWmCjEREaSywS3Pq2pump,AMD,GEWMxE7HNudCAifajHqLvhctbHPefSL2S62kAu3Vw96h,pumpswap,1789118563,0.000002162,2407.97,2117,2117,0,0,0,3.62,0,0,0,0,0,0,0,2,,,,1.31,0,1,1,1,,,,,,,,,,,
1789444164,CiqZrrsxWV9tyz6rL2AfVuibEH45FZq62Z9ZyEdFpump,STONKPUMP,9SZJgoDPKddbUgSA8zrxFadiP1kTERLr3XxJvRihk5Xg,pumpswap,1789117977,0.000002205,2518.96,2178,2178,0,0,0,3.17,0,0,0,0,0,0,0,4,,,,2.76,0,1,1,1,,,,,,,,,,,
1789444165,FiHpuVdsEqsMC571m9e7C9Ct1mgUCr6x9wB3pq1Fpn56,BODEN,9TymA5XepTVna5DcEuq4dGePRidYbvdQoySvWcyVAY6W,pumpswap,1788956141,0.000008023,7046.51,7829,7829,0,9.96,76.49,1983.41,0,0,1,0,7,13,33,54,,-0.59,-1.32,-22.91,0,1,1,1,,,,,,,,,,,
1789444163,8H5yfL1GoDETLDaLYZzrgQuZs37eiKJjdfP21b6ypump,SAAR,6hzdUCkrzgoJ5ugz2vWwKd56odxziZwyMEN7CCF7hSKy,pumpswap,1788562544,0.002598,143787.73,2474188,2474188,97.09,6806.47,32140.54,333567,3,2,40,24,161,147,1537,1374,-0.95,3.44,15.59,66.93,0,1,2,1,,,,,,,,,,,
1789444162,4mSGtSCjZm6qQcef4p8mNMbSyAiqVBStgHMo5w4MFP6L,BoB,722FSSdCzNEsn3kyeXTX9qxVMnq2n3oYJ16EwaZ6QKP3,raydium,1789118463,0.000006533,7014.69,6534,6534,0,0,96.76,18296.37,0,0,0,0,2,4,110,116,,,-4.45,5.55,0,0,1,1,CPMM,,,,,,,,,,
1789444165,Hf7Fdoo9X8WCaStfK7MjzqpVwyL1ijcjgVPYR9YGYZg2,MMS,5q2RKTdqSKB7k9AdQLhps7rPhHBqixa2P7peJENramyt,raydium,1789115586,0.000001592,2990.27,1592,1592,0,0,0,48.34,0,0,0,0,0,0,1,2,,,,-5.64,0,0,1,1,CPMM,,,,,,,,,,
1789444166,ZesMGYmokFiEuDvNzWeMhB7jxF6eUW8c512vwSKSTNK,🎒,CW5jBQCAw9btDETXs2hZsDUNHYAaXpx9mgKfzYimsebh,raydium,1788769302,0.001246,123745.72,1246610,1246610,221.79,3818.56,28368.03,180650.79,2,0,13,9,129,107,595,661,1.22,-2.6,-12.65,-32.35,0,0,2,1,CPMM,,,,,,,,,,
1789444163,4tftz6zvd4MvJ2myhtwAPifF4vGEQXvUHZXtMyxPpump,HORIZON,HzZWwtSocPt3cG3oscHABL5tKNJWiJj7nrRbqGNudndX,pumpswap,1789121398,0.000002130,2335.78,2072,2072,0,0,0.56,0.57,0,0,0,0,0,2,0,10,,,-1.5,1.63,0,1,2,1,,,,,,,,,,,
1789444162,2yn155z981UCogcmT7yxrz1zHhL77PGfVDsbLiGwpump,JUGGCAT,9DG69rWZcGTM2qjB516AA5LxxMhUUyqDdWFq2c6yHK59,pumpswap,1789124416,0.000002303,2541.9,2235,2235,0,0,0,0.4,0,0,0,0,0,1,0,11,,,-2.01,0.88,0,1,2,1,,,,,,,,,,,
1789444164,EA9HxmbSK7K68maRcYAV5vQnfG7b29HhTzeR3fqXpump,Lemon,5CheCbB7ZgEXaQdJHug51bqUEsfcCoTnLVjhZPVJcFoP,pumpswap,1789125632,0.000002456,2410.98,2220,2220,0,0,0,5.77,0,0,0,0,0,0,1,4,,,,-0.22,0,1,1,1,,,,,,,,,,,
1789444164,DrdwSUzt5ZMqa9Yj1cpvNRRx7zQZP5s9Gm2S8m62STNK,STINK,GHp34Zq9EjTjj6DTsCnP2czhWZDuLUdbhuetNK38igqM,raydium,1789124324,0.00008333,21367.79,83337,83337,0,798.98,9204.76,86499.92,0,0,5,22,122,110,714,589,,-2.71,-26.38,5.78,0,1,1,1,CPMM,,,,,,,,,,
1789444165,HYm6BfpDQkfUtnCWVnj6YAGzJvnpzuCWDZKrpbAVkBFh,WUFF,7GA65yufYGnzdRaJCjy7QPPrivEsf4f85uaTwy4DQaQL,raydium,1788792411,0.00006601,21506.65,66010,66010,0,0.21,1808.59,5504.43,0,0,0,1,6,9,50,35,,,-5.87,-8.37,0,1,2,1,CPMM,,,,,,,,,,
1789444164,DeCbrdr7VGSL7BTFufojwoJ4gudUrxE9pwBzJ6sApump,poukŸ,5z9oZrUShm7NyiQZdj6NjmuYVAC3sAM12aTTvrmAq89L,pumpswap,1789039185,0.00008254,22634.73,79826,79826,0,0,802.25,2624.66,0,0,0,0,17,3,53,19,,,0.3,28.05,0,1,2,1,,,,,,,,,,,
1789444162,29KvBXvMpBrkNNeYPYTHARb6ysNSYBcWirnnwxb7pump,BRAINSAHUR,HgT1tZg4286zzaU5vw78sPMG1aKYHFxTLVnWeHxo9GWG,pumpswap,1789140994,0.000001744,1907.47,1701,1701,0,0,0,0.02,0,0,0,0,0,1,0,13,,,-1.96,1.1,0,1,1,1,,,,,,,,,,,
1789444164,AAHvR3SK2KKa6nGyJZnkbbauLfEWnxqZGgbHHQWG8Aqz,Quagsire,F9rhgos99z63YSZ8u3vXJAZpsLAHVRK5yALTaiFPk1FW,raydium,1788825911,0.00003921,19073.49,39214,39214,0,5903.77,15473.27,41242.63,0,0,40,44,141,98,297,251,,-36.4,-59.97,-33.02,0,1,1,1,CPMM,,,,,,,,,,
1789444165,FuMvkfmjwYG5jsQ7wQkEaVi8dXuQo6QNvbyQqCm6pump,SX,HMZvnrvEiNfk6ZEKqP18GEu8FVej2Ea9JKeRfHK1rXMg,pumpswap,1789140200,0.000002242,2343.91,2154,2154,0,0,4.16,9.75,0,0,0,0,1,1,1,6,,,-0.91,1.8,0,1,1,1,,,,,,,,,,,
1789444164,CWTSTpRAcmrQdNStCzWj5iBVHaSqq1wf2zX9CP9tpump,cokecat,J9wycFgfrtTMNsHAfZXZJxCkKRK7VZR6pngBZ7Px4y8H,pumpswap,1789140882,0.000002514,2485.53,2418,2418,0,0,0.9,72.29,0,0,0,0,0,1,1,10,,,-1.13,-3.89,0,1,1,1,,,,,,,,,,,
1789444164,9psZbS4m1hxLcJ41vjRY9dd9CRHkjc1o1saS4d5STNK,S500,HsoweMrJqdrk6bCQ9zXgd4d4u1rjPENAE2F28QwLKX7F,meteora,1789139701,0.0002588,129427.16,258803,258803,9.5,880.67,4269.42,11939.02,1,0,21,26,114,335,464,694,0.03,0.54,-0.11,2.47,0,2,1,1,DYN2,,,,,,,,,,
1789444165,PkFH6bJ1dQUgocsxWjGAEkhoabGgXh6GyeVMcZfpump,WOFI,3obpGCSe3XH39X89xtgegBshCFhTkkzksFKzf31rYVzy,pumpswap,1789091425,0.000003925,3595.97,3925,3925,0,0,301.54,850.58,0,0,0,0,2,1,9,3,,,25.14,39.45,0,0,0,1,,,,,,,,,,,
1789444165,H4TqHhLbCqmcpV8GZqtv9XJhWiWhJrc4XVksKbjApump,HOMO,8Cx71UXzNpEpcJbKr31c1JwRUfvTiGTpZJPrwD1Mmix1,pumpswap,1789140947,0.000002310,2581.04,2271,2271,0,0,21.59,27.35,0,0,0,0,1,2,2,3,,,-0.61,-1.87,0,0,0,1,,,,,,,,,,,
1789444162,2RbedkHKGCfJ7NyeQBGWSParreAzSeAn6D8GHqLzpump,DELIVERY,JDAY2ptw6QikC4PHvsbL4VBGnFKRCc2XpKj2NcQjpZAS,pumpswap,1789143122,0.000002474,2569.86,2310,2310,0,0.01,0.44,1.47,0,0,0,1,5,9,13,14,,-2.1,-3.43,-0.07,0,1,2,1,,,,,,,,,,,
1789444162,2q2jMWu2jcjyCdpgJwUo6mgCFZEiBvZ5aFmJmZfXpump,ROBINPEPE,3nZyGF6CosNf1Lf2W8XX9zpETJFtwXvckXkLrC7rKSfK,pumpswap,1789143442,0.000002155,2198.6,1883,1883,0,0,0,7.08,0,0,0,0,0,1,0,10,,,-1.86,1.1,0,0,0,1,,,,,,,,,,,
1789444164,CeEitaSeF2dUsPmiR44Arp6GRq3TsGNNKKCyFBZ2pump,9/11,4mMRsho25AgxhKb8ytwGLy1tsD98q6HJL2T6uNtZbhGU,pumpswap,1789145380,0.000002535,2616.85,2461,2461,0,0,0.98,66.69,0,0,0,0,0,4,0,19,,,-1.94,-4.65,0,0,1,1,,,,,,,,,,,
1789444166,pceM9amR3UJrSQHPnUraies6B1ZrynZcK51oKCEHYwM,BRAD,9n8z27ieg4c39a9DeMX9yHZ1wuphA9aymUvFjVDtrke5,raydium,1789103767,0.000004554,5795.54,4555,4555,0,0,258.49,3048.67,0,0,0,0,3,7,25,41,,,-5.79,-35.84,0,1,1,1,CPMM,,,,,,,,,,
1789444164,9JgZBnMnYJYKZyVpRMiXGDKJUdQDmUEAZmybiFgwpump,LURE,7yad8sKFuFSE822XqfAontTiNDbbtaXkLeZVzzASCwBg,pumpswap,1789146473,0.000002252,2253.46,2166,2166,0,0,3.68,8.86,0,0,0,0,0,2,0,3,,,0.73,0.73,0,1,1,1,,,,,,,,,,,
1789444165,GHcha5wmPV629D2aUnXsAz8x5EgEXTwPzC2YvuFJua5u,METCAT,2kXGtRwAM7VFYAtkXKZbzeXpbe6WwAWnoC65eMTQPDeD,meteora,1788994662,0.00007673,26990.71,76728,76728,233.05,937.27,15995.04,75216.41,1,1,12,12,95,79,550,449,0.94,3.21,-8.98,-45.91,0,0,1,1,DYN2,,,,,,,,,,
1789444165,GuvzQrVKq9ZEawE4rkLsruVcjNY9HBzjVkmJqumStPN6,TOKNS,62fmM4i2s6Nk1txsuDtqZsa2hHiukagGAQ37HsFWwjzZ,raydium,1789145032,0.000001420,2022.77,1420,1420,0,0,1.38,9.97,0,0,0,0,0,1,0,2,,,39.97,39.97,0,1,1,1,CPMM,,,,,,,,,,
1789444163,5GefefPX1mDs6ZJB1apYmz6fCTCiNJpHturZ9bvFpump,Pumpoween,8NVFB1unNk9aDtL5hooF8Hahf2rt4GLPWx9ctEadikHg,pumpswap,1788551378,0.0005343,61871.42,502349,502349,9.2,304.73,19993.29,44248.36,1,1,14,9,681,207,1162,514,1.04,-0.87,8.37,23.03,10,1,1,1,,,,,,,,,,,
1789444162,4Vur6RbGdWjhFsfULJx8z8ACfpFC9d2wMYaY43Srpump,FLM,F4koNX9vhLGY7zWDw2hwy27VAzDkZ66HN2zDJREPzBAK,pumpswap,1789164253,0.000003919,3713.86,3821,3821,0,0,575.63,2665.62,0,0,0,0,1,9,24,32,,,-24.71,-31.84,0,1,1,1,,,,,,,,,,,
